,Target,Importance
6663,Cardiomyocyte | TBX5 | ID:72942,29
7266,293T | ZNF81 | ID:77026,29
5687,HEK293_Epithelium_Embryonic_Kidney | PRDM6 | ID:65125,29
9151,HSMMtube | EZH2 | ENCODE,29
1199,SGBS_Adipocyte_Adipose | CEBPA | ID:41167,29
6974,GM12878_B_Lymphocyte_Blood | TSC22D4 | ID:74646,29
8916,H1-hESC | CEBPB | ENCODE,29
7727,HCT-116_HCT116 | POLR2A | ID:83342,28
8242,BJ_Fibroblast_Skin | FOXA2 | ID:86987,28
1035,LoVo_Colon | ASCL2 | ID:38812,28
6816,293T | ZNF549 | ID:73941,28
6528,TTC-549_Liver_cell_Liver | SMARCC1 | ID:72114,28
7293,293T | ZNF573 | ID:77082,28
6544,Gen2.2_Plasmacytoid_dendritic_cell | BRD4 | ID:72345,28
7772,TIG-3_Fibroblast_Embryonic_Lung | BRAF | ID:83718,28
8851,GM12878 | TR4 | ENCODE,28
105,IB4_Lymphocyte_Blood | RBPJ | ID:1793,28
7146,HEK293_Epithelium_Embryonic_Kidney | POLR2A | ID:76218,27
6300,Stem_cell_Foreskin | DNMT3A | ID:70224,27
4175,HEK293_Epithelium_Embryonic_Kidney | POLR2A | ID:55798,27
7071,U2OS | ZBTB48 | ID:75280,26
7199,RKO_Epithelium_Colon | BRPF3 | ID:76495,26
6601,A375_Melanoma_Cell | POLR2A | ID:72431,26
4516,LNCaP-abl_Epithelium_Prostate | MED1 | ID:58343,26
9373,Mobilized_CD34_Primary_Cells_Male | DNase.hot | Roadmap,26
4122,HCT-116_Colon | POLR2A | ID:55674,26
6358,Raji_B_Lymphocyte_Blood | BRD4 | ID:70965,26
7978,CHL-1_melanoma_Skin | BRD4 | ID:85029,26
401,Raji_B_Lymphocyte_Blood | POLR2A | ID:33471,26
8347,IMR-5 | MYC | ID:87653,25
6037,HCT-116_Colon_cancer_cell_Colon | BRD4 | ID:68783,25
8729,Fetal_Kidney | DNase.hot | Roadmap,25
9398,Ovary | DNase.hot | Roadmap,25
7012,K562_Erythroblast_Bone_Marrow | EZH2 | ID:74684,25
1096,LS180_Epithelium_Colon | NCOR1 | ID:39655,25
8068,MIN_cancer_cells_Breast | ESR1 | ID:85653,25
8680,CD19_Primary_Cells_Peripheral_ | DNase.hot | Roadmap,25
4302,HEK293T_Epithelium_Embryonic_Kidney | EHMT2 | ID:56448,25
8745,Fetal_Placenta | DNase.hot | Roadmap,25
9381,NHDF-Ad | EZH2 | ENCODE,25
6541,U87_Glioblastoma_cell | POLR2A | ID:72340,25
9057,HeLa-S3 | Znf143 | ENCODE,24
2925,MCF-7_Epithelium_Breast | CBX5 | ID:48598,24
4306,HEK293T_Epithelium_Embryonic_Kidney | EHMT2 | ID:56456,24
6226,HT29_colorectal_adenocarcinoma | NR1H2 | ID:69805,24
8677,CD19_Primary_Cells_Peripheral_ | DNase.all.peaks | Roadmap,24
9064,HepG2 | BRCA1 | ENCODE,24
6951,Endothelial_Cell_Umbilical_Vein | PROX1 | ID:74485,24
684,C4-2B_Epithelium_Prostate | AR | ID:35780,24
9400,PANC-1 | Pol2-4H8 | ENCODE,24
4326,HuCCT1 | POLR2A | ID:56561,24
5647,HEK293_Epithelium_Embryonic_Kidney | KLF12 | ID:65071,23
4813,MCF-7_Epithelium_Breast | ZBTB11 | ID:62870,23
4568,HAP-1 | POLR2A | ID:58833,23
890,ME-1_Leukemia_Cell | MYH11 | ID:37623,23
8673,CD14_Primary_Cells | DNase.all.peaks | Roadmap,23
816,Neural_crest_cell_Cranial | TFAP2A | ID:36958,23
8436,H1_Embryonic_Stem_Cell_Embryo | CHD1 | ID:8806,23
4324,HuCCT1 | POLR2A | ID:56559,23
1560,HeLa_Epithelium_Cervix | POLR2A | ID:43452,23
6568,Raji_Lymphoblast | POLR2A | ID:72396,23
8963,H1-hESC | SUZ12 | ENCODE,23
263,V6.5_Embryonic_Stem_Cell | SMC1A | ID:2896,23
1211,IMR90_Fibroblast_Lung | POLR2A | ID:41281,23
3397,Pre-B_Lymphocyte | BCL6 | ID:51245,23
8513,SH-EP | POLR2A | ID:88566,23
7307,293T | ZNF468 | ID:77113,22
1775,GM12878_B_Lymphocyte_Blood | EZH2 | ID:45215,22
1609,H9_Embryonic_Stem_Cell_Embryo | TP53 | ID:43998,22
5715,HEK293_Epithelium_Embryonic_Kidney | ZNF18 | ID:65171,22
5742,HEK293_Epithelium_Embryonic_Kidney | ZNF680 | ID:65209,22
3228,Epithelium_Prostate | AR | ID:50060,22
790,HeLa-S3_Epithelium_Cervix | ZNF143 | ID:36771,22
3888,Mesenchymal_Stem_Cell | CEBPB | ID:54125,22
3288,IMR90_Fibroblast_Lung | POLR2A | ID:50358,22
2213,K562_Erythroblast_Bone_Marrow | TRIM28 | ID:45933,22
4661,HEK293_Epithelium_Embryonic_Kidney | ZNF202 | ID:62487,22
5680,HEK293_Epithelium_Embryonic_Kidney | ZNF768 | ID:65118,22
7732,CLB-Ga_Neuroblastoma_cell | PHOX2B | ID:83392,21
108,IMR90_Fibroblast_Lung | RB1 | ID:1870,21
9279,K562 (IFNg6h) | Pol2 | ENCODE,21
841,Epithelium_Mammary_Gland | HSF1 | ID:37134,21
4063,HeLa_Epithelium_Cervix | NELFA | ID:55466,21
6809,293T | ZNF766 | ID:73929,21
5410,K562_Erythroblast_Bone_Marrow | ZNF740 | ID:64374,21
9397,Ovary | DNase.fdr0.01.peaks | Roadmap,21
339,MCF-7_Epithelium_Breast | GATA3 | ID:33136,21
7005,HepG2_Epithelium_Liver | ZMYM3 | ID:74677,21
8839,GM12878 | SIX5 | ENCODE,21
6982,K562_Erythroblast_Bone_Marrow | ZMYM3 | ID:74654,21
9467,U87 | NRSF | ENCODE,21
9440,SH-SY5Y | GATA3 | ENCODE,21
8947,H1-hESC | Pol2-4H8 | ENCODE,21
4123,HCT-116_Colon | POLR2A | ID:55675,21
4352,LHSAR_Epithelium_Prostate | AR | ID:56670,21
7180,T_Lymphocyte_Umbilical_Cord | STAT3 | ID:76390,21
8353,MCF-10A_Epithelium_Breast | NR3C1 | ID:87683,21
9020,HeLa-S3 | EZH2 | ENCODE,20
8552,LNCaP_Epithelium_Prostate | MTOR | ID:88847,20
7276,293T | ZNF75D | ID:77048,20
8283,MDA-MB-231_mDA | POLR2A | ID:87261,20
7282,293T | ZNF682 | ID:77061,20
3060,Jurkat_T_Lymphocyte_Blood | CDK7 | ID:49493,20
7524,JMSU-1_cancer_cells | RXRA | ID:82023,20
4305,HEK293T_Epithelium_Embryonic_Kidney | EHMT2 | ID:56455,20
7866,breast_triple_negative_tumor_cell_line_BCSC1_Breast | KDM4A | ID:84293,20
2950,NTKO_Multiple_myeloma_cell | EZH2 | ID:48762,20
1111,Kasumi-1_Myeloblast_Blood | RUNX1 | ID:39778,20
9198,K562 | CEBPB | ENCODE,20
5632,A549_Epithelium_Lung | HES2 | ID:65023,20
4161,Cardiomyocyte_Heart | EP300 | ID:5577,20
6477,LNCaP_Epithelium_Prostate | NANOG | ID:71759,20
7263,293T | ZNF879 | ID:77022,20
4678,MCF-7_Epithelium_Breast | CUX1 | ID:62547,20
7632,BJ_Fibroblast_Skin | FOXA2 | ID:82643,20
5743,HEK293_Epithelium_Embryonic_Kidney | ZFP28 | ID:65210,20
9283,K562 | Pol2 | ENCODE | 3,20
6564,Cardiomyocyte | POLR2A | ID:72392,20
8684,CD3_Primary_Cells_Cord_BI | DNase.hot | Roadmap,20
228,HEK293T_Epithelium_Embryonic_Kidney | POLR2A | ID:2642,19
731,HEK293_Epithelium_Embryonic_Kidney | XRN2 | ID:36228,19
506,HUES64_Embryonic_Stem_Cell_Embryo | POU5F1 | ID:34100,19
5750,Saos-2_Osteosarcoma_cell_Bone | TP73 | ID:6546,19
4695,Skin | CTCF | ID:62586,19
3601,R1-AD1_Epithelium_Prostate | AR | ID:52537,19
1656,LNCaP_Epithelium_Prostate | E2F1 | ID:44313,19
2970,H1_Embryonic_Stem_Cell_Embryo | TRIM28 | ID:48923,19
4700,Stomach | POLR2A | ID:62591,19
6342,Raji_B_Lymphocyte_Blood | POLR2A | ID:70940,19
5111,Stomach | POLR2A | ID:63569,19
2435,GM12891_Lymphoblastoid_Blood | POLR2A | ID:46152,19
3523,Colon | POLR2A | ID:51844,19
6889,SF8628_Pontine | POLR2A | ID:74217,19
8240,iPS_cells_iPSC | POLR2A | ID:86945,19
9046,HeLa-S3 | SPT20 | ENCODE,19
7602,HeLa_Adherent_HeLa_cells | POLR2A | ID:82511,19
5000,HepG2_Epithelium_Liver | SP1 | ID:63312,19
3572,Akata_B_Lymphocyte | ZTA | ID:52241,18
9406,Pancreas | DNase.hot | Roadmap,18
9003,HeLa-S3 | BRF2 | ENCODE,18
6459,Fibroblast_Skin | H1.4 | ID:71332,18
9142,HMEC | EZH2 | ENCODE,18
7701,TIME_Fibroblast | POLR2A | ID:83206,18
3362,501-Mel_Melanoma_Cell | POLR2A | ID:50855,18
1242,DU145_Epithelium_Prostate | RING1 | ID:41489,18
9395,Ovary | DNase.all.peaks | Roadmap,18
7286,293T | ZNF671 | ID:77066,18
8289,Hematopoietic_Cell | EZH1 | ID:87346,18
8701,ECC-1 (DMSO_0.02pct) | Pol2 | ENCODE,18
3150,iPSC | CHD7 | ID:49781,18
1475,AC16_Cardiomyocyte | POLR2A | ID:42905,18
6639,HEK293FT_Kidney | NUP98-HOXA9 | ID:72703,18
3079,MCF-7_Epithelium_Breast | ESR1 | ID:49611,18
3535,Colon | POLR2A | ID:51859,18
6182,Hematopoietic_stem_and_progenitor_cell | STAG1 | ID:69620,18
6437,Osteoblast | TEAD1 | ID:71236,18
4956,HEK293_Epithelium_Embryonic_Kidney | ZNF354C | ID:63203,18
2446,GM12892_Lymphoblastoid_Blood | TAF1 | ID:46162,18
6317,LNCaP_LNCaP_cells | MYC | ID:70756,18
9431,ProgFib | Pol2 | ENCODE,18
7061,Huh7_Epithelium_Liver | POLR2A | ID:75141,17
7346,293T | ZNF100 | ID:77180,17
7216,HuRef_Lymphoblastoid | CENPC | ID:76574,17
5061,K562_Erythroblast_Bone_Marrow | DEAF1 | ID:63449,17
7431,HepG2_Epithelium_Liver | SMARCA4 | ID:81230,17
4049,SW480_Colon | TP53 | ID:55387,17
4069,H3396_Epithelium_Mammary_Gland | CREB1 | ID:5549,17
8372,K562_Erythroblast_Bone_Marrow | HDAC6 | ID:8778,17
4331,HuCCT1 | CDK9 | ID:56566,17
245,THP-1_Monocyte_Blood | VDR | ID:2774,17
7517,Fibroblast_Skin | POLR2A | ID:81969,17
2487,HCT-116_Colon | REST | ID:46203,17
1089,Fibroblast | POU5F1 | ID:39513,17
8918,H1-hESC | CHD1 | ENCODE | 1,17
6813,293T | ZNF680 | ID:73933,17
6122,HuRef_Lymphoblastoid | CENPT | ID:69238,17
9379,NH-A | EZH2 | ENCODE,17
5685,HEK293_Epithelium_Embryonic_Kidney | ZFP64 | ID:65123,17
7728,HCT-116_HCT116 | POLR2A | ID:83343,17
5655,HEK293_Epithelium_Embryonic_Kidney | ZNF317 | ID:65079,17
3416,T_Lymphocyte | PSIP1 | ID:51360,17
3758,T_Lymphocyte_Blood | STAT5B | ID:53637,17
1978,H1_Embryonic_Stem_Cell_Embryo | ZNF143 | ID:45688,17
6098,MCF-10A_Epithelium | SMARCA4 | ID:68958,17
3725,T47D_Epithelium_Mammary_Gland | CHD8 | ID:53398,17
532,HeLa_Epithelium_Cervix | SUMO1 | ID:34366,17
8601,HCT-116_Colon | CBX3 | ID:9232,16
16,HCT-116_Colon | AFF4 | ID:1140,16
5862,LNCaP_Epithelium_Prostate | CREB1 | ID:67718,16
8884,GM18526 (TNFa) | NFKB | ENCODE,16
9435,Psoas_Muscle | DNase.hot | Roadmap,16
7544,HCT-116_Human_colorectal_cancer_HCT116 | KDM3B | ID:82127,16
1140,GM12871_B_Lymphocyte_Blood | CTCF | ID:39972,16
3500,HUES64_Embryonic_Stem_Cell_Embryo | TRIM28 | ID:51616,16
8134,MDA-MB-231_mDA | POLR2A | ID:86164,16
2701,DU145_Epithelium_Prostate | FOXA1 | ID:47328,16
1971,H1_Embryonic_Stem_Cell_Embryo | CEBPB | ID:45681,16
7213,SH-SY5Y_Neuron | CHAT | ID:76548,16
6815,293T | ZNF558 | ID:73940,16
5767,MCF-7_Epithelium_Breast | ESR1 | ID:6564,16
5965,C4-2_Prostate | AR | ID:68091,16
4974,HEK293_Epithelium_Embryonic_Kidney | ZNF680 | ID:63246,16
6214,HT29_colorectal_adenocarcinoma | POLR2A | ID:69788,16
9318,K562 | THAP1 | ENCODE,16
4103,HCT-116_Colon | ELL2 | ID:55645,16
9298,K562 | SIX5 | ENCODE,16
3347,Fibroblast | GTF2I | ID:50695,16
9235,K562 | EZH2 | ENCODE,16
5440,HEK293_Epithelium_Embryonic_Kidney | BCL11B | ID:64464,16
6653,Cardiomyocyte | HDAC2 | ID:72913,16
8243,MDA-MB-231_mDA | POLR2A | ID:86992,16
4923,A549_Epithelium_Lung | EP300 | ID:63126,16
8940,H1-hESC | MafK | ENCODE,16
747,T_Lymphocyte_Blood | BRD4 | ID:36301,16
8595,HeLa_Epithelium_Cervix | GABPA | ID:9212,16
5330,A549_Epithelium_Lung | NR3C1 | ID:64156,16
3231,VCaP_Epithelium_Prostate | ESR1 | ID:50063,16
4748,MCF-7_Epithelium_Breast | ZNF207 | ID:62697,16
3524,Colon | POLR2A | ID:51845,16
9056,HeLa-S3 | ZKSCAN1 | ENCODE,16
5728,HEK293_Epithelium_Embryonic_Kidney | ZNF528 | ID:65191,16
6785,SEM_B_Lymphocyte | AFF1 | ID:73714,16
8822,GM12878 | Pbx3 | ENCODE,16
6036,HCT-116_Colon_cancer_cell_Colon | BRD4 | ID:68782,16
585,MCF-7_Epithelium_Breast | POLR2A | ID:35215,15
9053,HeLa-S3 | TFIIIC-110 | ENCODE,15
2845,Adipocyte_Adipose | EBF1 | ID:48179,15
9377,NB4 | Pol2 | ENCODE,15
7364,HepG2_Epithelium_Liver | ZSCAN2 | ID:77266,15
4653,Raji_B_Lymphocyte_Blood | MYC | ID:5965,15
5703,HEK293_Epithelium_Embryonic_Kidney | SP1 | ID:65151,15
3039,IMR90_Fibroblast_Lung | EP300 | ID:49414,15
9403,Pancreas | DNase.all.peaks | Roadmap,15
7827,Retina | RPE | ID:84107,15
3432,HUES64_Embryonic_Stem_Cell_Embryo | FOXA2 | ID:51457,15
8248,H1_Embryonic_Stem_Cell_Embryo | SMAD2 | ID:87046,15
9319,K562 | TR4 | ENCODE,15
8236,HCT-116_HCT116 | POLR2A | ID:86927,15
6938,MCF-7_Breast | ESR1 | ID:74399,15
9234,K562 | ETS1 | ENCODE,15
2909,MCF-7_Epithelium_Breast | BRD4 | ID:48448,15
4248,Prostate | AR | ID:56120,15
4589,TF-1_Erythroblast_Bone_Marrow | RUNX1 | ID:58877,15
4574,HEK293_Epithelium_Embryonic_Kidney | POLR2A | ID:58839,15
494,BG03_Embryonic_Stem_Cell_Embryo | SMAD3 | ID:34012,15
7936,A673_Polygonal_Muscle | FLI1 | ID:84628,15
7237,A549_Epithelium_Lung | SETX | ID:76830,15
6559,U2OS_Bone | CTCF | ID:72362,15
1148,SKMEL5_melanoma | BRD4 | ID:40032,15
39,HeLa_Epithelium_Cervix | GLYR1 | ID:1221,15
6379,MCF-7_Epithelium | ZNF143 | ID:71041,15
8650,A549 | Rad21 | ENCODE,15
3748,Adipocyte | RELA | ID:53598,15
8215,MOLM-13_Leukemia_Cell | METTL14 | ID:86848,15
7366,K562_Erythroblast_Bone_Marrow | ZNF410 | ID:77269,15
7242,HEK293_Epithelium_Embryonic_Kidney | ZMYND8 | ID:76851,15
983,LoVo_Colon | ZBTB7B | ID:38666,15
8140,C4-2_Prostate | BRD4 | ID:86205,15
8692,CD56_Primary_Cells | DNase.hot | Roadmap,15
3631,MCF-7_Epithelium_Breast | RELA | ID:52617,15
5585,K562_Erythroblast_Bone_Marrow | SIN3A | ID:64868,15
8036,A549_Epithelium_Lung | BRD4 | ID:85405,15
6041,SH-SY5Y_Neuron | SATB1 | ID:68798,15
6684,MCF-7_Breast | ESR1 | ID:72998,15
5749,Saos-2_Osteosarcoma_cell_Bone | TP73 | ID:6545,15
6707,B_cell_precursor | IKZF1 | ID:73239,15
9119,HepG2 | Sin3Ak-20 | ENCODE,15
3503,HUES64_Embryonic_Stem_Cell_Embryo | MYC | ID:51628,15
1849,A549_Epithelium_Lung | POLR2A | ID:45555,15
6799,resting_Blood | POLR2A | ID:73738,15
3964,MCF-7_Epithelium_Breast | POLR2A | ID:54643,15
7068,U2OS | ZBTB48 | ID:75277,15
1175,IMR90_Fibroblast_Lung | TP53 | ID:40286,15
7337,293T | ZNF17 | ID:77168,15
6436,Osteoblast | STAT3 | ID:71234,15
1842,Osteoblast_Bone | EP300 | ID:45517,15
7214,293T | ZNF618 | ID:76567,15
8849,GM12878 | TCF12 | ENCODE,14
8598,HCT-116_Colon | CBX3 | ID:9228,14
3907,GM06990_B_Lymphocyte_Blood | E2F4 | ID:542,14
6841,Thymus | BCL11B | ID:73987,14
4383,HeLa_Epithelium_Cervix | GTF2B | ID:56962,14
8060,IMR-5 | RAD21 | ID:85620,14
4689,HEK293_Epithelium_Embryonic_Kidney | ZNF623 | ID:62566,14
596,MCF-10A_Epithelium_Breast | SNAPC1 | ID:35268,14
243,T98G_Brain | EP300 | ID:2753,14
5196,HepG2_Epithelium_Liver | HLF | ID:63809,14
718,Epithelium_Mammary_Gland | ESR1 | ID:36103,14
2702,DU145_Epithelium_Prostate | FOXA1 | ID:47329,14
3530,Colon | POLR2A | ID:51854,14
2706,DU145_Epithelium_Prostate | FOXA1 | ID:47334,14
6990,GM12878_B_Lymphocyte_Blood | ZMYM3 | ID:74662,14
540,CD36_Cell | SMARCA4 | ID:34390,14
8797,GM12878 | EZH2 | ENCODE,14
1657,LNCaP_Epithelium_Prostate | AR | ID:44314,14
5877,LNCaP_Epithelium_Prostate | GATA2 | ID:67746,14
1571,Fibroblast_Foreskin | CBX8 | ID:43569,14
4213,HepG2_Epithelium_Liver | GABPA | ID:56044,14
5682,HEK293_Epithelium_Embryonic_Kidney | ZBTB26 | ID:65120,14
3668,MCF-10A_Epithelium_Breast | POLR2A | ID:52999,14
2957,Keratinocyte_Foreskin | ZNF750 | ID:48799,14
6980,GM12878_B_Lymphocyte_Blood | ZMYM3 | ID:74652,14
7621,Mesenchymal_Stem_Cell_Bone_Marrow | CHD1 | ID:82607,14
2910,MCF-7_Epithelium_Breast | BRD4 | ID:48450,14
1244,DU145_Epithelium_Prostate | RNF2 | ID:41491,14
3089,MCF-7_Epithelium_Breast | RARG | ID:49623,14
8678,CD19_Primary_Cells_Peripheral_ | DNase.fdr0.01.hot | Roadmap,14
9223,K562 | E2F4 | ENCODE,14
1372,GM18951_Lymphoblastoid_Blood | STAG1 | ID:42412,14
837,BT-20_Epithelium_Mammary_Gland | HSF1 | ID:37116,14
7294,293T | ZNF567 | ID:77085,14
367,H128_Epithelium_Lung | MYC | ID:33180,14
3067,H9_Embryonic_Stem_Cell_Embryo | BRD4 | ID:49541,14
9351,MCF-7 (vehicle) | c-Myc | ENCODE,14
1248,GM12878_B_Lymphocyte_Blood | TP53 | ID:41500,14
7952,SKH1 | GATA2 | ID:84785,14
9390,NHLF | EZH2 | ENCODE,14
3073,Embryonic_Stem_Cell_Embryo | ZNF486 | ID:49603,14
5584,K562_Erythroblast_Bone_Marrow | SIN3A | ID:64867,14
6186,Hematopoietic_stem_and_progenitor_cell | STAG1 | ID:69626,14
9232,K562 | ELF1 | ENCODE,14
6340,BJAB_B_Lymphocyte | TRIM28 | ID:70926,14
8858,GM12878 | ZEB1 | ENCODE,14
1663,LNCaP_Epithelium_Prostate | E2F1 | ID:44320,14
4729,HepG2_Epithelium_Liver | RAD51 | ID:62652,14
6607,SEM_B_cell_precursor | AFF4 | ID:72467,14
6646,meningioma | TRAF7 | ID:72855,14
3133,Kasumi-1_Myeloblast_Blood | CEBPA | ID:49737,14
151,LNCaP_Epithelium_Prostate | AR | ID:2172,14
3557,IMR90_Fibroblast_Lung | TP53 | ID:52097,14
1380,GM19193_Lymphoblastoid_Blood | STAG1 | ID:42442,14
6930,MCF-7_Breast | RELA | ID:74391,14
3126,NCI-H128_Epithelium_Lung | ASCL1 | ID:49724,14
4399,Colon | DACOR1 | ID:56997,14
3024,293T-Rex | SCML2 | ID:49266,14
7022,IN528 | POLR2A | ID:74834,14
307,P493-6_B_cell_lymphoma | T | ID:32816,14
834,MCF-10A_Epithelium_Breast | HSF1 | ID:37108,14
306,P493-6_B_cell_lymphoma | T | ID:32815,14
