,Target,Weight
6794,HepG2_Epithelium_Liver | NR3C1 | ID:73725,0.25691253
3468,HUES64_Embryonic_Stem_Cell_Embryo | POU5F1 | ID:51542,0.25673974
4503,LNCaP-abl_Epithelium_Prostate | POLR2A | ID:58318,0.25333074
2165,K562_Erythroblast_Bone_Marrow | UBTF | ID:45882,0.25085
166,MCF-7_Epithelium_Breast | CTCF | ID:2255,0.25065058
6089,MCF-7_Epithelium_Breast | ESR1 | ID:68874,0.25058624
9267,K562 | Nrf1 | ENCODE,0.24804385
4740,K562_Erythroblast_Bone_Marrow | HES1 | ID:62673,0.24724367
3460,HUES64_Embryonic_Stem_Cell_Embryo | OTX2 | ID:51529,0.24718866
9361,MCF-7 | Pol2 | ENCODE,0.2466968
9064,HepG2 | BRCA1 | ENCODE,0.24666551
5509,A549_Epithelium_Lung | CEBPB | ID:64671,0.2463718
7449,K562_Erythroblast_Bone_Marrow | NUP98 | ID:81393,0.24508995
6887,SF8628_Pontine | EZH2 | ID:74213,0.24506178
5718,HEK293_Epithelium_Embryonic_Kidney | ZNF22 | ID:65178,0.24495684
6227,HT29_colorectal_adenocarcinoma | NR1H2 | ID:69806,0.24488573
3074,Embryonic_Stem_Cell_Embryo | ZNF486 | ID:49604,0.24333972
6943,LNCaP_Epithelium_Prostate | AR | ID:74411,0.24163416
6296,Stem_cell_Foreskin | DNMT3B | ID:70178,0.24095911
4684,HepG2_Epithelium_Liver | PLRG1 | ID:62557,0.24093731
114,IMR90_Fibroblast_Lung | RBL2 | ID:1876,0.24064831
9384,NHEK | CTCF | ENCODE | 1,0.24014768
9333,K562 | ZNF274 | ENCODE | 1,0.23806615
6049,K562_Leukemia_Cell | SPI1 | ID:68826,0.23796156
219,MR4_Promyelocytic_cell_Bone_Marrow | PML | ID:2448,0.2378374
3073,Embryonic_Stem_Cell_Embryo | ZNF486 | ID:49603,0.23761883
1647,HCC95_Epithelium_Lung | TP63 | ID:44231,0.23495923
36,HeLa-S3_Epithelium_Cervix | ELK4 | ID:1215,0.23443416
4700,Stomach | POLR2A | ID:62591,0.2344068
9234,K562 | ETS1 | ENCODE,0.23375638
4177,HEK293_Epithelium_Embryonic_Kidney | POLR2A | ID:55800,0.23347922
2378,ECC-1_Epithelium_Endometrium | USF1 | ID:46098,0.23304683
3079,MCF-7_Epithelium_Breast | ESR1 | ID:49611,0.23151264
1689,Fibroblast | ERCC6 | ID:44357,0.23136511
7655,Breast | ESR1 | ID:82853,0.23132165
5145,A549_Epithelium_Lung | EP300 | ID:63650,0.23113999
3858,MCF-7_Epithelium_Breast | PR | ID:54037,0.2311042
9277,K562 (IFNa6h) | Pol2 | ENCODE,0.23054227
8285,MCF-7_Epithelium_Breast | TP53 | ID:87304,0.22986136
4617,THP-1_Monocyte_Blood | LYL1 | ID:59007,0.22977594
1196,Epithelium_Mammary_Gland | ESR1 | ID:41144,0.22824906
7823,BICR31_squamous_cell_carcinoma_Head_and_neck | EP300 | ID:84010,0.22752722
8860,GM12878 | ZNF274 | ENCODE,0.22727577
1877,GM08714_Blood | ZNF274 | ID:45583,0.2270215
93,HepG2_Epithelium_Liver | NR2C2 | ID:1464,0.2263204
6567,NCI-H2087_Epithelium_Lung | POLR2A | ID:72395,0.224859
4184,293T | BRD4 | ID:55817,0.22475895
239,T98G_Brain | CREBBP | ID:2749,0.22466265
43,HeLa_Epithelium_Cervix | GLYR1 | ID:1225,0.2246144
7199,RKO_Epithelium_Colon | BRPF3 | ID:76495,0.22456753
7524,JMSU-1_cancer_cells | RXRA | ID:82023,0.22406398
7935,Tumor_cells | STAT3 | ID:84623,0.22405471
6095,ZR-75-30 | EP300 | ID:68917,0.22344486
7790,MCF-7_Epithelium_Breast | ESR1 | ID:83810,0.22339137
148,K562_Erythroblast_Bone_Marrow | ZNF263 | ID:2157,0.22104238
5637,K562_Erythroblast_Bone_Marrow | MCM3 | ID:65048,0.22073065
47,HeLa-S3_Epithelium_Cervix | NR2C2 | ID:1298,0.22006142
6670,Prostate | AR | ID:72970,0.22004358
8295,M.M._Fibroblast | FOXA2 | ID:87392,0.21992275
6317,LNCaP_LNCaP_cells | MYC | ID:70756,0.2194095
5454,K562_Erythroblast_Bone_Marrow | TSC22D4 | ID:64519,0.21937479
4442,K562_Erythroblast_Bone_Marrow | CBX2 | ID:57671,0.21823429
3557,IMR90_Fibroblast_Lung | TP53 | ID:52097,0.21818587
8595,HeLa_Epithelium_Cervix | GABPA | ID:9212,0.21789065
6440,Osteoblast | POLR2A | ID:71244,0.21504948
4483,Neural_Progenitor_Cell | SOX2 | ID:58179,0.2150134
7172,LCL_Lymphoblastoid_Blood | YY1 | ID:76299,0.21467172
6193,MV4;11_Leukemia_Cell_Blood | BRD4 | ID:69758,0.21414167
1669,LNCaP_Epithelium_Prostate | AR | ID:44327,0.21356924
5200,K562_Erythroblast_Bone_Marrow | ZNF740 | ID:63820,0.21354097
7012,K562_Erythroblast_Bone_Marrow | EZH2 | ID:74684,0.21270622
2944,Epithelium_Liver | SPI1 | ID:48704,0.21251707
5722,HEK293_Epithelium_Embryonic_Kidney | ZNF816 | ID:65185,0.2112354
7257,U2OS_Osteosarcoma_cell | LRWD1 | ID:76969,0.21047945
8105,Muscle | POLR2A | ID:85939,0.21035917
4049,SW480_Colon | TP53 | ID:55387,0.2102262
8536,HCC1143 | STAT3 | ID:88680,0.21009131
6224,HT29_colorectal_adenocarcinoma | NR1H2 | ID:69803,0.2099478
9386,NHEK | EZH2 | ENCODE,0.20983958
6115,LNCaP_Epithelium_Prostate | TRIM24 | ID:69202,0.20958307
7393,GM12878_B_Lymphocyte_Blood | POLR2A | ID:8093,0.2094726
6300,Stem_cell_Foreskin | DNMT3A | ID:70224,0.20938289
2669,Macrophage | EPAS1 | ID:47088,0.20934033
6018,Neural_Progenitor_Cell | POU3F2 | ID:68572,0.2089232
7799,SHEP-21N_Neuroblastoma_cell_Bone_Marrow | POLR2A | ID:83836,0.2082364
2426,GM12878_B_Lymphocyte_Blood | MEF2C | ID:46144,0.20814712
4481,Neural_Progenitor_Cell | SOX2 | ID:58177,0.20702186
7804,K562_Leukemia | SIRT1 | ID:83889,0.20693502
8480,HeLa_Epithelium_Cervix | SMC3 | ID:88347,0.20684612
1523,MM1.S_B_Lymphocyte_Blood | CDK8 | ID:43095,0.20670682
5410,K562_Erythroblast_Bone_Marrow | ZNF740 | ID:64374,0.2066869
5643,HEK293_Epithelium_Embryonic_Kidney | ZNF467 | ID:65062,0.20664644
5965,C4-2_Prostate | AR | ID:68091,0.20586781
478,Plasma_Cell | BRD4 | ID:33904,0.20581158
6273,293T | TET2 | ID:70094,0.20568599
3773,Embryonic_Stem_Cell | POLR2A | ID:53667,0.20563371
5047,HEK293_Epithelium_Embryonic_Kidney | ZFP69B | ID:63424,0.20563215
242,T98G_Brain | EP300 | ID:2752,0.20557903
537,HeLa_Epithelium_Cervix | SUMO1 | ID:34373,0.20507343
8944,H1-hESC | Nrf1 | ENCODE,0.20501329
2927,OCI-Ly3_B_Lymphocyte_Bone_Marrow | BATF | ID:48621,0.20500761
1664,LNCaP_Epithelium_Prostate | E2F1 | ID:44321,0.20498681
1289,iPSC | JARID2 | ID:41808,0.20476554
3921,LNCaP_Epithelium_Prostate | GATA2 | ID:54397,0.20419624
7322,293T | ZNF304 | ID:77140,0.20415717
597,H1_Embryonic_Stem_Cell_Embryo | POLR2A | ID:35269,0.20357263
4103,HCT-116_Colon | ELL2 | ID:55645,0.20337304
7075,HeLa | ZBTB48 | ID:75284,0.20296621
3452,HUES64_Embryonic_Stem_Cell_Embryo | NANOG | ID:51513,0.20287655
9188,K562 | Bach1 | ENCODE,0.20257105
939,MCF-7_Epithelium_Breast | POLR2A | ID:38199,0.20252952
6828,293T | ZNF266 | ID:73963,0.2023405
7948,Kasumi-1_Myeloblast_Blood | RUNX1 | ID:8478,0.2021795
243,T98G_Brain | EP300 | ID:2753,0.20197159
6937,MCF-7_Breast | ESR1 | ID:74398,0.20168255
6046,K562_Leukemia_Cell | SPI1 | ID:68823,0.20121615
3477,HUES64_Embryonic_Stem_Cell_Embryo | SMAD1 | ID:51559,0.20118397
3348,Fibroblast | GTF2I | ID:50697,0.2006548
4045,VCaP_Epithelium_Prostate | POLR2A | ID:55360,0.20041838
2902,Fibroblast | PRKDC | ID:48353,0.20028971
5882,LNCaP_Epithelium_Prostate | AR | ID:67753,0.19970289
7239,SK-N-SH_Neuroblastoma_cell_Brain | EBF3 | ID:76847,0.1996434
698,T47D-MTVL_Epithelium_Mammary_Gland | POLR2A | ID:35938,0.1991722
5892,T47D | BRD4 | ID:67793,0.1990303
1001,LoVo_Colon | DLX1 | ID:38719,0.19887646
7146,HEK293_Epithelium_Embryonic_Kidney | POLR2A | ID:76218,0.1982644
8956,H1-hESC | Sin3Ak-20 | ENCODE,0.19815467
6315,LNCaP_LNCaP_cells | MYC | ID:70754,0.19776072
6432,LNCaP_Epithelium_Prostate | RELA | ID:71230,0.19734544
5647,HEK293_Epithelium_Embryonic_Kidney | KLF12 | ID:65071,0.19732939
6629,Endothelial_Cell_Umbilical_Vein | POLR2A | ID:72622,0.19716717
2012,HEK293_Epithelium_Embryonic_Kidney | POLR2A | ID:45722,0.19702016
9295,K562 | SETDB1 | ENCODE,0.19584392
4589,TF-1_Erythroblast_Bone_Marrow | RUNX1 | ID:58877,0.19581263
450,Endothelial_Cell_Umbilical_Vein | FAIRE | ID:33610,0.19575503
7795,MCF-7_Epithelium_Breast | ESR1 | ID:83818,0.19555789
6540,U87_Glioblastoma_cell | POLR2A | ID:72339,0.19547044
949,H1_Embryonic_Stem_Cell_Embryo | POLR2A | ID:38292,0.1952572
9200,K562 | c-Fos | ENCODE,0.19463693
8436,H1_Embryonic_Stem_Cell_Embryo | CHD1 | ID:8806,0.19444443
4623,PC-3_Epithelium_Prostate | ETV4 | ID:5924,0.19432698
3283,VCaP_Epithelium_Prostate | AR | ID:50270,0.19427815
9001,HeLa-S3 | BRCA1 | ENCODE,0.19398685
4400,HCT-116_Colon | POLR2A | ID:57088,0.19355497
4554,LNCaP-abl_Epithelium_Prostate | MED1 | ID:58638,0.19352475
189,MCF-7_Epithelium_Breast | GATA3 | ID:2324,0.19313739
6129,VCaP_Epithelium_Prostate | ERG | ID:69267,0.19311799
2769,TIVE-LTC_T_Lymphocyte_Blood | LANA | ID:47739,0.19303659
6704,B_cell_precursor | IKZF1 | ID:73236,0.19266468
53,HeLa_Epithelium_Cervix | NR3C1 | ID:1306,0.19252338
9319,K562 | TR4 | ENCODE,0.1919615
554,Keratinocyte_Foreskin | TP63 | ID:34559,0.19192874
7590,HCT-116_HCT116 | POLR2A | ID:82396,0.19179882
2591,MCF-7_Epithelium_Breast | PML | ID:46307,0.19167407
9235,K562 | EZH2 | ENCODE,0.19150117
4606,Raji_B_Lymphocyte_Blood | POLR2A | ID:58945,0.1911997
6628,Endothelial_Cell_Umbilical_Vein | POLR2A | ID:72621,0.18959577
3160,GM19099_Lymphoblastoid_Blood | POLR2A | ID:4985,0.18937448
2950,NTKO_Multiple_myeloma_cell | EZH2 | ID:48762,0.18936333
5996,LNCaP_Epithelium_Prostate | POU2F1 | ID:68236,0.18934532
4767,Colon | POLR2A | ID:62737,0.1892023
2802,Jurkat_T_Lymphocyte_Blood | REST | ID:47865,0.18905519
4479,Glioblastoma_Stem_Cell | SOX2 | ID:58175,0.18905269
6053,VAL-3_Embryonic_Stem_Cell | FOXM1 | ID:68837,0.1888826
5320,A549_Epithelium_Lung | HES2 | ID:64120,0.18853159
1909,GM12878_B_Lymphocyte_Blood | E2F4 | ID:45617,0.18838009
3831,MCF-7_Epithelium_Breast | EP300 | ID:53999,0.18833075
1571,Fibroblast_Foreskin | CBX8 | ID:43569,0.18829775
8865,GM12891 | Pol2-4H8 | ENCODE,0.18829708
8824,GM12878 | Pol2-4H8 | ENCODE,0.1882339
3350,Fibroblast | GTF2I | ID:50699,0.18805067
6494,MCF-7_Breast | MED1 | ID:71865,0.18767366
8140,C4-2_Prostate | BRD4 | ID:86205,0.18728757
1016,LoVo_Colon | ETV5 | ID:38759,0.18724905
6118,BJAB_GCB_DLBCL_cells | BIRA | ID:69218,0.18694046
2978,HeLa_Epithelium_Cervix | AFF4 | ID:48999,0.18660934
675,C4-2B_Epithelium_Prostate | AR | ID:35764,0.18656065
1562,HEK293T_Epithelium_Embryonic_Kidney | C17orf96 | ID:43550,0.18626717
5263,HEK293_Epithelium_Embryonic_Kidney | ZFP64 | ID:63981,0.1861995
8567,J-Lat_A72 | POLR2A | ID:88921,0.18606274
3834,MCF-7_Epithelium_Breast | EP300 | ID:54003,0.18551412
9048,HeLa-S3 | STAT3 | ENCODE,0.18541105
4043,VCaP_Epithelium_Prostate | POLR2A | ID:55358,0.18540166
740,Haematopoietic_Progenitor_Cell_Blood | LYL1 | ID:36247,0.18530828
4559,Th2 | MYB | ID:58806,0.18524449
1776,GM12878_B_Lymphocyte_Blood | CTCF | ID:45218,0.18505174
4086,B_Lymphocyte | BACH2 | ID:55549,0.184725
6575,MCF-7_Human_Breast_Cancer_Cell_Breast | POLR2A | ID:72404,0.18472274
726,Keratinocyte | TP63 | ID:36140,0.18462676
5222,MCF-7_Epithelium_Breast | MTA2 | ID:63874,0.18460685
3026,LS174T_Epithelium_Colon | ZBTB17 | ID:49276,0.18419033
8430,K562_Leukemia | SIRT1 | ID:88011,0.18389855
9393,NT2-D1 | ZNF274 | ENCODE,0.18351418
4674,HEK293_Epithelium_Embryonic_Kidney | ZNF585B | ID:62532,0.18323329
2221,K562_Erythroblast_Bone_Marrow | USF2 | ID:45941,0.183225
5700,HEK293_Epithelium_Embryonic_Kidney | ZNF324 | ID:65144,0.18269518
8466,H1_Embryonic_Stem_Cell_Embryo | SAP30 | ID:8821,0.1822327
5778,MCF-7_Epithelium_Breast | CTCF | ID:6576,0.18222214
2236,K562_Erythroblast_Bone_Marrow | YY1 | ID:45956,0.18189965
8496,HCT-116_Colon | NIPBL | ID:88450,0.18187286
1399,GM2588_Lymphoblastoid_Blood | CTCF | ID:42520,0.18138337
3807,T47D_Epithelium_Mammary_Gland | EP300 | ID:53967,0.18124887
6677,COLO-829 | CTCF | ID:72978,0.18119533
8885,GM18526 | Pol2 | ENCODE,0.18053848
4395,HeLa_Epithelium_Cervix | GTF2B | ID:56978,0.18035898
359,P493-6_B_cell_lymphoma | POLR2A | ID:33163,0.18034285
5725,HEK293_Epithelium_Embryonic_Kidney | KLF1 | ID:65188,0.18031451
9163,HUVEC | Pol2 | ENCODE,0.18016115
8911,H1-hESC | ATF2 | ENCODE,0.17977588
467,H295R_Epithelium_Adrenal_Gland | SF1 | ID:33852,0.17968024
601,HeLa-S3_Epithelium_Cervix | BRDU | ID:35290,0.17962727
3994,Adipose | PPARG | ID:55132,0.17947245
3305,Jurkat_T_Lymphocyte_Blood | MYB | ID:50397,0.17946255
5802,SK-N-SH_Neuroblastoma_cell_Brain | RARA | ID:67427,0.17889303
3592,HEK293_Epithelium_Embryonic_Kidney | MYC | ID:52429,0.17886762
7235,Fibroblast_Fetal_Lung | NEUROG2 | ID:76819,0.17876522
5189,HepG2_Epithelium_Liver | RNF2 | ID:63791,0.17861938
6226,HT29_colorectal_adenocarcinoma | NR1H2 | ID:69805,0.17844433
4605,Raji_B_Lymphocyte_Blood | POLR2A | ID:58944,0.17822835
9379,NH-A | EZH2 | ENCODE,0.17809317
8513,SH-EP | POLR2A | ID:88566,0.17785947
4906,A549_Epithelium_Lung | FOSL2 | ID:63081,0.17775394
4183,293T | BRD4 | ID:55816,0.17766513
9274,K562 | Pol2-4H8 | ENCODE,0.17763413
7818,HCT-116_HCT116 | POLR2A | ID:83957,0.17755073
4550,LNCaP-abl_Epithelium_Prostate | POLR2A | ID:58633,0.17742386
6993,K562_Erythroblast_Bone_Marrow | NRF1 | ID:74665,0.1768093
890,ME-1_Leukemia_Cell | MYH11 | ID:37623,0.17642231
8933,H1-hESC | FOSL1 | ENCODE,0.17640068
6843,endometrioid_adenocarcinoma | ESR1 | ID:73998,0.17636849
3979,HCT-116_Colon | TCF4 | ID:54670,0.17599009
3966,MCF-7_Epithelium_Breast | ESR1 | ID:54645,0.17563848
5698,HEK293_Epithelium_Embryonic_Kidney | ZNF320 | ID:65141,0.17551552
3024,293T-Rex | SCML2 | ID:49266,0.17540799
5976,Thymocyte_Thymus | GATA3 | ID:68160,0.17524265
7315,293T | ZNF429 | ID:77127,0.1750367
3309,hMADS-3_Adipocyte_Adipose | CREBBP | ID:50403,0.17492361
6161,A375_Melanoma_Cell | MED1 | ID:69517,0.17471704
6933,MCF-7_Breast | ESR1 | ID:74394,0.17428902
5969,U2OS_Bone | ARNTL | ID:68104,0.17419033
5111,Stomach | POLR2A | ID:63569,0.17384945
4218,HepG2_Epithelium_Liver | CREB1 | ID:56049,0.17337859
8357,K562_Erythroblast_Bone_Marrow | CHD1 | ID:8769,0.17305058
9350,MCF-7 (serum_stimulated_media) | c-Myc | ENCODE,0.1730221
7846,LNCaP_Epithelium_Prostate | HNF4G | ID:84232,0.17301431
108,IMR90_Fibroblast_Lung | RB1 | ID:1870,0.17293723
4697,K562_Erythroblast_Bone_Marrow | MCM7 | ID:62588,0.17277813
8568,J-Lat_A72 | POLR2A | ID:88922,0.17270997
249,U2OS_Bone | TRIM28 | ID:2780,0.17250022
7478,PC-9_Lung_Cancer_Cell_Lung | BRD4 | ID:81613,0.17243537
1535,HUG1N_Stomach | GATA6 | ID:43163,0.17242604
7289,293T | ZNF616 | ID:77074,0.17242287
3297,Proerythroblast_Fetal_Liver | EZH2 | ID:50375,0.1723293
5678,HEK293_Epithelium_Embryonic_Kidney | MAZ | ID:65115,0.17229624
7630,HepG2_Epithelium_Liver | NFIC | ID:82639,0.17227341
8553,CHL-1_melanoma_Skin | BRD4 | ID:88862,0.17220958
1113,Kasumi-1_Myeloblast_Blood | RUNX1 | ID:39780,0.1721554
6008,Erythroid_Cell | USF2 | ID:68455,0.17179114
5247,HepG2_Epithelium_Liver | SSRP1 | ID:63942,0.17176647
9293,K562 | SAP30 | ENCODE,0.17172723
8771,GM12875 | CTCF | ENCODE,0.17151004
76,HeLa-S3_Epithelium_Cervix | STAT1 | ID:1356,0.17142253
1453,LoVo_Colon | NFYC | ID:42774,0.1713555
1611,Haematopoietic_Progenitor_Cell_Cord_blood | MEIS1 | ID:4400,0.17093359
6561,CAL-1_Plasmacytoid_dendritic_cell | TCF4 | ID:72367,0.17022297
6565,HCC1954_Breast | POLR2A | ID:72393,0.1699317
790,HeLa-S3_Epithelium_Cervix | ZNF143 | ID:36771,0.16981916
5317,K562_Erythroblast_Bone_Marrow | SMARCA4 | ID:64112,0.16980729
3934,MDA-MB-468_Epithelium_Mammary_Gland | TP53 | ID:54521,0.16976379
5792,GM12878_B_Lymphocyte_Blood | NR2C2 | ID:670,0.16965573
8877,GM12892 | Pol2 | ENCODE | 1,0.1694087
2798,Jurkat_T_Lymphocyte_Blood | REST | ID:47861,0.16911207
679,LNCaP_Epithelium_Prostate | AR | ID:35775,0.16881168
3760,Embryonic_Stem_Cell | LEF1 | ID:53650,0.16879955
7886,TIME_Fibroblast | POLR2A | ID:84396,0.16862535
8839,GM12878 | SIX5 | ENCODE,0.16856907
9390,NHLF | EZH2 | ENCODE,0.16834903
9242,K562 | GTF2F1 | ENCODE,0.16828787
7381,U2OS_Bone | HIF1A | ID:77519,0.1682367
5350,A549_Epithelium_Lung | EP300 | ID:64220,0.16820505
8955,H1-hESC | RXRA | ENCODE,0.1681511
5033,MCF-7_Epithelium_Breast | CHD1 | ID:63387,0.16775566
7885,TIME_Fibroblast | POLR2A | ID:84391,0.16772792
4352,LHSAR_Epithelium_Prostate | AR | ID:56670,0.16770668
5370,A549_Epithelium_Lung | CEBPB | ID:64281,0.16763525
6027,IMR90_fibrobasts | BRD4 | ID:68714,0.16734995
8917,H1-hESC | CHD1 | ENCODE,0.16711643
4985,HEK293_Epithelium_Embryonic_Kidney | OSR2 | ID:63285,0.1670618
1904,GM12878_B_Lymphocyte_Blood | JUND | ID:45610,0.16683486
9201,K562 | CHD1 | ENCODE,0.16675875
5964,C4-2_Prostate | AR | ID:68090,0.1667069
6120,HBL1_B_cell_lymphoma | POU2F2 | ID:69220,0.16608672
5318,A549_Epithelium_Lung | HES2 | ID:64118,0.16575088
155,LNCaP_Epithelium_Prostate | FOXA1 | ID:2189,0.16534334
8558,SCC9_squamous_cell_carcinoma | CHD4 | ID:88896,0.16530441
4845,A549_Epithelium_Lung | CEBPB | ID:62938,0.16515064
6824,293T | ZNF331 | ID:73956,0.16510515
1739,VCaP_Epithelium_Prostate | BRD4 | ID:44602,0.1646471
3978,HCT-116_Colon | TCF4 | ID:54669,0.16436894
5872,LNCaP_Epithelium_Prostate | FOXA1 | ID:67741,0.16405077
6480,Beta_cell | PAX6 | ID:71777,0.16404645
8947,H1-hESC | Pol2-4H8 | ENCODE,0.16396216
5000,HepG2_Epithelium_Liver | SP1 | ID:63312,0.16385742
4382,HeLa_Epithelium_Cervix | GTF2B | ID:56961,0.1638104
864,Jurkat_E6-1_T_Lymphocyte_Blood | RUNX1 | ID:37388,0.16371909
398,Hematopoietic_Cell | ERG | ID:33458,0.16371801
8829,GM12878 | Pol2(phosphoS2) | ENCODE,0.1636981
3792,HEK293A | MEF2B | ID:53877,0.1636807
1212,IMR90_Fibroblast_Lung | POLR2A | ID:41282,0.16358536
4757,HEK293_Epithelium_Embryonic_Kidney | ZNF175 | ID:62713,0.1635825
7984,Macrophage_Blood | RXRG | ID:85059,0.1635357
314,HeLa_Epithelium_Cervix | TERC | ID:32853,0.16342247
9057,HeLa-S3 | Znf143 | ENCODE,0.16335788
7210,K562_Lymphoblast | EPC1 | ID:76528,0.16331929
5956,C4-2_Prostate | POLR2A | ID:68082,0.16301292
4227,MCF-7_Epithelium_Breast | RAD21 | ID:56058,0.16294222
5212,K562_Erythroblast_Bone_Marrow | MCM7 | ID:63846,0.16293271
2300,NT2-D1_Embryo | YY1 | ID:46021,0.16273393
6538,Glioblastoma_Stem_Cell | MYC | ID:72337,0.16269177
520,DLD-1_Epithelium_Colon | POLR2A | ID:34349,0.16266355
7665,Keratinocyte | CTCF | ID:82974,0.1625992
3201,K562_Erythroblast_Bone_Marrow | SCML2 | ID:50020,0.16248594
5257,HepG2_Epithelium_Liver | GATA4 | ID:63974,0.16246864
4994,K562_Erythroblast_Bone_Marrow | ZBTB11 | ID:63304,0.16239013
4072,Myeloid_Cell | RUNX1 | ID:55492,0.16238342
2630,SK-N-SH_Neuroblastoma_cell_Brain | GABPA | ID:46344,0.16221753
2159,K562_Erythroblast_Bone_Marrow | POLR2A | ID:45875,0.16213234
8301,Progenitor_Cells | EP300 | ID:87438,0.16212277
5242,A549_Epithelium_Lung | FOSL2 | ID:63919,0.16209356
5699,HEK293_Epithelium_Embryonic_Kidney | ZNF320 | ID:65142,0.1620195
4350,LHSAR_Epithelium_Prostate | AR | ID:56669,0.16201767
3579,Keratinocyte | POLR2A | ID:52297,0.16191994
862,A549_Epithelium_Lung | FOXA2 | ID:37366,0.16168705
5210,HEK293_Epithelium_Embryonic_Kidney | ZBTB33 | ID:63844,0.16137367
7470,Fibroblast | PSMD1 | ID:81596,0.16126287
4647,IMEC_Epithelium_Breast | MYC | ID:59543,0.16102126
2386,ECC-1_Epithelium_Endometrium | POLR2A | ID:46105,0.16084483
39,HeLa_Epithelium_Cervix | GLYR1 | ID:1221,0.16081701
7836,SHEP-21N_Neuroblastoma_cell_Bone_Marrow | MYCN | ID:84181,0.16055267
184,MCF-7_Epithelium_Breast | FOS | ID:2318,0.1600865
2017,HeLa-S3_Epithelium_Cervix | ZNF274 | ID:45727,0.16005902
6762,SUM159PT_Mammary_carcinoma_cell_Breast | EP300 | ID:73539,0.16001575
6935,MCF-7_Breast | ESR1 | ID:74396,0.15963517
3454,HUES64_Embryonic_Stem_Cell_Embryo | NANOG | ID:51516,0.15954034
9279,K562 (IFNg6h) | Pol2 | ENCODE,0.15952589
8826,GM12878 | Pol2 | ENCODE | 1,0.1592974
4090,B_Lymphocyte | MEF2B | ID:55563,0.15916546
3955,MCF-7_Epithelium_Breast | NCAPG | ID:54632,0.15898883
2056,HeLa-S3_Epithelium_Cervix | NFYA | ID:45769,0.1589551
4945,HepG2_Epithelium_Liver | IKZF1 | ID:63179,0.15879318
7678,HeLa_Epithelium_Cervix | DDX21 | ID:83100,0.15874165
4602,HCC1954_Epithelium_Mammary_Gland | NRF1 | ID:58940,0.15862498
4251,Prostate | AR | ID:56123,0.15860145
1067,CUTLL1_T_Lymphocyte_Blood | NOTCH1 | ID:393,0.15843819
