,Target,Importance
816,Neural_crest_cell_Cranial | TFAP2A | ID:36958,70
4372,SMMC-7721_Liver | PBX3 | ID:56901,69
9359,MCF-7 | GATA3 | ENCODE | 1,69
339,MCF-7_Epithelium_Breast | GATA3 | ID:33136,68
4427,PC-3_Epithelium_Prostate | EP300 | ID:57301,68
8537,LNCaP_Epithelium_Prostate | TRIM28 | ID:88682,66
8855,GM12878 | YY1 | ENCODE,66
455,BJ_Fibroblast_Skin | SOX2 | ID:33707,66
3676,BT-474_Epithelium_Mammary_Gland | HOXB7 | ID:53089,63
6653,Cardiomyocyte | HDAC2 | ID:72913,59
5645,HEK293_Epithelium_Embryonic_Kidney | ZNF547 | ID:65067,59
3758,T_Lymphocyte_Blood | STAT5B | ID:53637,58
4081,H3396_Epithelium_Mammary_Gland | CREB1 | ID:5553,58
3352,Fibroblast | GTF2I | ID:50708,58
3188,Jurkat_T_Lymphocyte_Blood | KDM3A | ID:49955,58
6037,HCT-116_Colon_cancer_cell_Colon | BRD4 | ID:68783,57
2306,Raji_B_Lymphocyte_Blood | POLR2A | ID:46027,55
5673,HEK293_Epithelium_Embryonic_Kidney | SP4 | ID:65110,55
6003,LHCN-M2_Myoblast_Skeletal_Muscle | DUX4 | ID:68379,54
9110,HepG2 (forskolin) | Pol2 | ENCODE,53
5458,A549_Epithelium_Lung | EP300 | ID:64534,52
4635,Myoblast | DUX4 | ID:59381,50
1813,K562_Erythroblast_Bone_Marrow | CBX8 | ID:45398,50
4103,HCT-116_Colon | ELL2 | ID:55645,50
8993,HEK293 | Pol2 | ENCODE,49
6477,LNCaP_Epithelium_Prostate | NANOG | ID:71759,48
9024,HeLa-S3 | Ini1 | ENCODE,48
7216,HuRef_Lymphoblastoid | CENPC | ID:76574,47
4278,OF4155_Neural_Progenitor_Cell | FOXP1 | ID:56275,47
7068,U2OS | ZBTB48 | ID:75277,47
2701,DU145_Epithelium_Prostate | FOXA1 | ID:47328,47
9111,HepG2 | Pol2 | ENCODE,47
6098,MCF-10A_Epithelium | SMARCA4 | ID:68958,47
6809,293T | ZNF766 | ID:73929,47
4306,HEK293T_Epithelium_Embryonic_Kidney | EHMT2 | ID:56456,46
8677,CD19_Primary_Cells_Peripheral_ | DNase.all.peaks | Roadmap,45
3728,T47D_Epithelium_Mammary_Gland | CHD8 | ID:53400,45
5540,HepG2_Epithelium_Liver | SRSF3 | ID:64770,44
1111,Kasumi-1_Myeloblast_Blood | RUNX1 | ID:39778,44
5643,HEK293_Epithelium_Embryonic_Kidney | ZNF467 | ID:65062,44
7345,293T | ZNF10 | ID:77179,44
3631,MCF-7_Epithelium_Breast | RELA | ID:52617,43
7266,293T | ZNF81 | ID:77026,43
8799,GM12878 | GABP | ENCODE,43
9381,NHDF-Ad | EZH2 | ENCODE,42
7727,HCT-116_HCT116 | POLR2A | ID:83342,42
3300,Proerythroblast_Fetal_Liver | EZH2 | ID:50379,42
8552,LNCaP_Epithelium_Prostate | MTOR | ID:88847,42
8680,CD19_Primary_Cells_Peripheral_ | DNase.hot | Roadmap,42
4053,786-O_Epithelium_Kidney | SPI1 | ID:55392,41
7146,HEK293_Epithelium_Embryonic_Kidney | POLR2A | ID:76218,41
9329,K562 | ZBTB7A | ENCODE,41
3070,H9_Embryonic_Stem_Cell_Embryo | POLR2A | ID:49548,40
4175,HEK293_Epithelium_Embryonic_Kidney | POLR2A | ID:55798,40
6041,SH-SY5Y_Neuron | SATB1 | ID:68798,40
6342,Raji_B_Lymphocyte_Blood | POLR2A | ID:70940,40
6277,293T | TET2 | ID:70098,39
3523,Colon | POLR2A | ID:51844,38
3226,Epithelium_Prostate | AR | ID:50059,38
9332,K562 | ZNF274 | ENCODE,38
9386,NHEK | EZH2 | ENCODE,38
8800,GM12878 | IKZF1 | ENCODE,37
3668,MCF-10A_Epithelium_Breast | POLR2A | ID:52999,37
5086,K562_Erythroblast_Bone_Marrow | SUZ12 | ID:63519,37
7866,breast_triple_negative_tumor_cell_line_BCSC1_Breast | KDM4A | ID:84293,36
5749,Saos-2_Osteosarcoma_cell_Bone | TP73 | ID:6545,36
9033,HeLa-S3 | Nrf1 | ENCODE,36
2438,GM12891_Lymphoblastoid_Blood | POLR2A | ID:46155,36
6885,SF8628_Pontine | BRD2 | ID:74208,36
108,IMR90_Fibroblast_Lung | RB1 | ID:1870,35
6607,SEM_B_cell_precursor | AFF4 | ID:72467,35
1265,GM19193_Lymphoblastoid_Blood | POLR2A | ID:41694,34
9202,K562 | CHD2 | ENCODE,34
9398,Ovary | DNase.hot | Roadmap,34
1621,T_Lymphocyte_Blood | STAT5 | ID:44087,34
6974,GM12878_B_Lymphocyte_Blood | TSC22D4 | ID:74646,34
8829,GM12878 | Pol2(phosphoS2) | ENCODE,34
4475,Stem_cell_Blood | KDM2B | ID:58083,34
5718,HEK293_Epithelium_Embryonic_Kidney | ZNF22 | ID:65178,34
5717,HEK293_Epithelium_Embryonic_Kidney | ZNF22 | ID:65177,33
1118,Kasumi-1_Myeloblast_Blood | RUNX1 | ID:39785,33
9053,HeLa-S3 | TFIIIC-110 | ENCODE,33
7315,293T | ZNF429 | ID:77127,33
7417,Kidney | ZFX | ID:81162,33
1085,MCF-7_Epithelium_Breast | FOXM1 | ID:39484,32
7522,Epithelium_Epididymis | HNF1A | ID:82019,32
9379,NH-A | EZH2 | ENCODE,32
4302,HEK293T_Epithelium_Embryonic_Kidney | EHMT2 | ID:56448,32
4503,LNCaP-abl_Epithelium_Prostate | POLR2A | ID:58318,32
6358,Raji_B_Lymphocyte_Blood | BRD4 | ID:70965,31
7071,U2OS | ZBTB48 | ID:75280,31
9373,Mobilized_CD34_Primary_Cells_Male | DNase.hot | Roadmap,31
8152,HCT-116_HCT116 | POLR2A | ID:86354,31
7772,TIG-3_Fibroblast_Embryonic_Lung | BRAF | ID:83718,31
595,MCF-10A_Epithelium_Breast | POLR2A | ID:35267,31
2435,GM12891_Lymphoblastoid_Blood | POLR2A | ID:46152,31
9044,HeLa-S3 | RPC155 | ENCODE,30
5647,HEK293_Epithelium_Embryonic_Kidney | KLF12 | ID:65071,30
2442,GM12892_Lymphoblastoid_Blood | POLR2A | ID:46159,30
2920,iPSC | SOX2 | ID:48551,30
805,MCF-7_Epithelium_Breast | GREB1 | ID:36822,30
229,HEK293T_Epithelium_Embryonic_Kidney | POLR2A | ID:2643,30
8096,MIN_cancer_cells_Breast | ESR1 | ID:85907,29
3511,HEK293T_Epithelium_Embryonic_Kidney | POLR2A | ID:51772,29
6501,A549_Epithelium_Lung | NIPBL | ID:71872,29
5440,HEK293_Epithelium_Embryonic_Kidney | BCL11B | ID:64464,29
6568,Raji_Lymphoblast | POLR2A | ID:72396,29
392,Blood | SMARCA4 | ID:33437,29
2950,NTKO_Multiple_myeloma_cell | EZH2 | ID:48762,29
7148,HEK293_Epithelium_Embryonic_Kidney | POLR2A | ID:76220,28
2946,Epithelium_Mammary_Gland | POLR2A | ID:48737,28
731,HEK293_Epithelium_Embryonic_Kidney | XRN2 | ID:36228,28
8741,Fetal_Muscle_Trunk | DNase.hot | Roadmap,28
9246,K562 | HDAC6 | ENCODE,28
1828,K562_Erythroblast_Bone_Marrow | CBX3 | ID:45429,28
7728,HCT-116_HCT116 | POLR2A | ID:83343,28
8797,GM12878 | EZH2 | ENCODE,28
8824,GM12878 | Pol2-4H8 | ENCODE,27
6812,293T | ZNF680 | ID:73932,27
9390,NHLF | EZH2 | ENCODE,27
5715,HEK293_Epithelium_Embryonic_Kidney | ZNF18 | ID:65171,27
7967,MCF-7_Epithelium_Breast | ZFX | ID:84928,27
7346,293T | ZNF100 | ID:77180,26
6569,NOMO-1_Acute_myeloid_leukemia | BRD9 | ID:72398,26
3501,HUES64_Embryonic_Stem_Cell_Embryo | TRIM28 | ID:51617,26
6018,Neural_Progenitor_Cell | POU3F2 | ID:68572,26
7517,Fibroblast_Skin | POLR2A | ID:81969,26
8570,J-Lat_A72 | POLR2A | ID:88927,26
557,Macrophage | CEBPB | ID:34564,26
844,MCF-10A_Epithelium_Breast | HSF1 | ID:37153,26
4122,HCT-116_Colon | POLR2A | ID:55674,26
1211,IMR90_Fibroblast_Lung | POLR2A | ID:41281,26
4049,SW480_Colon | TP53 | ID:55387,26
3185,GBM1B_Glioblastoma_Stem_Cell | KLF9 | ID:49951,26
6544,Gen2.2_Plasmacytoid_dendritic_cell | BRD4 | ID:72345,26
4700,Stomach | POLR2A | ID:62591,26
6528,TTC-549_Liver_cell_Liver | SMARCC1 | ID:72114,26
6158,Foreskin | TP53 | ID:69457,26
9231,K562 | Egr-1 | ENCODE,26
6449,Osteoblast | BRD4 | ID:71254,25
7332,293T | ZNF248 | ID:77155,25
2493,HCT-116_Colon | CBX3 | ID:46209,25
9242,K562 | GTF2F1 | ENCODE,25
460,MCF-7_Epithelium_Breast | EP300 | ID:33736,25
4307,HEK293T_Epithelium_Embryonic_Kidney | EHMT2 | ID:56457,25
8679,CD19_Primary_Cells_Peripheral_ | DNase.fdr0.01.peaks | Roadmap,25
8839,GM12878 | SIX5 | ENCODE,25
7616,HUDEP-2 | ZBTB7A | ID:82591,25
8383,K562_Erythroblast_Bone_Marrow | CBX3 | ID:8780,24
5631,A549_Epithelium_Lung | HES2 | ID:65022,24
47,HeLa-S3_Epithelium_Cervix | NR2C2 | ID:1298,24
8519,MCF-7_Epithelium_Breast | T | ID:88590,24
2292,NB4_Promyelocytic_cell_Blood | CTCF | ID:46013,24
7850,HCT-116_HCT116 | POLR2A | ID:84239,24
6525,TTC-549_Liver_cell_Liver | SMARCA4 | ID:72109,24
3917,MCF-7_Epithelium_Breast | LMTK3 | ID:54380,24
8959,H1-hESC | SP1 | ENCODE,23
5658,HEK293_Epithelium_Embryonic_Kidney | SP2 | ID:65084,23
5884,Hematopoietic_stem_and_progenitor_cell_Fetal_Liver | RUNX1 | ID:67763,23
5830,HCT-116_Colon_cancer_cell_Colon | BRD4 | ID:67539,23
9003,HeLa-S3 | BRF2 | ENCODE,23
5210,HEK293_Epithelium_Embryonic_Kidney | ZBTB33 | ID:63844,23
5178,Skin | CTCF | ID:63753,23
4304,HEK293T_Epithelium_Embryonic_Kidney | EHMT2 | ID:56454,23
6601,A375_Melanoma_Cell | POLR2A | ID:72431,23
7602,HeLa_Adherent_HeLa_cells | POLR2A | ID:82511,23
3074,Embryonic_Stem_Cell_Embryo | ZNF486 | ID:49604,23
9406,Pancreas | DNase.hot | Roadmap,23
1224,Monocyte_Blood | IRF1 | ID:41303,23
8814,GM12878 | NF-YB | ENCODE,22
6122,HuRef_Lymphoblastoid | CENPT | ID:69238,22
8753,Fetal_Thymus | DNase.hot | Roadmap,22
7407,HepG2_Epithelium_Liver | POLR2A | ID:8109,22
841,Epithelium_Mammary_Gland | HSF1 | ID:37134,22
6121,HuRef_Lymphoblastoid | CENPT | ID:69236,22
8752,Fetal_Thymus | DNase.fdr0.01.peaks | Roadmap,22
6815,293T | ZNF558 | ID:73940,22
3755,T_Lymphocyte_Blood | STAT5B | ID:53633,22
1475,AC16_Cardiomyocyte | POLR2A | ID:42905,22
1264,GM19141_Lymphoblastoid_Blood | POLR2A | ID:41693,22
2944,Epithelium_Liver | SPI1 | ID:48704,22
8392,TIG-3_Fibroblast_Embryonic_Lung | BRAF | ID:87857,22
8016,KELLY_Neuroblastoma_cell | MYCN | ID:85291,21
602,HeLa-S3_Epithelium_Cervix | BRDU | ID:35291,21
6955,DU145_Epithelium_Prostate | ETS1 | ID:74509,21
4300,HEK293T_Epithelium_Embryonic_Kidney | EHMT2 | ID:56446,21
3884,Mesenchymal_Stem_Cell | POLR2A | ID:54121,21
7000,HepG2_Epithelium_Liver | ZMYM3 | ID:74672,21
9285,K562 | Pol2(phosphoS2) | ENCODE | 1,21
4406,RL95-2_Uterus | EPO | ID:57110,21
1233,HT1080_Connective_Tissue | ERCC3 | ID:41411,21
9234,K562 | ETS1 | ENCODE,21
4661,HEK293_Epithelium_Embryonic_Kidney | ZNF202 | ID:62487,21
6785,SEM_B_Lymphocyte | AFF1 | ID:73714,21
5087,K562_Erythroblast_Bone_Marrow | SUZ12 | ID:63520,21
6624,A375_Melanoma_Cell | SP1 | ID:72611,21
402,Raji_B_Lymphocyte_Blood | POLR2A | ID:33478,20
7406,HepG2_Epithelium_Liver | POLR2A | ID:8108,20
7513,A673_Polygonal_Muscle | MKL1 | ID:81946,20
6479,Beta_cell | PAX6 | ID:71776,20
2781,Raji_B_Lymphocyte_Blood | POLR2A | ID:47812,20
1581,HEK293T_Epithelium_Embryonic_Kidney | DPPA2 | ID:43668,20
5422,Skin | CTCF | ID:64413,20
2732,U2OS_Bone | ZBTB17 | ID:47489,20
9235,K562 | EZH2 | ENCODE,20
4551,LNCaP-abl_Epithelium_Prostate | POLR2A | ID:58634,20
3228,Epithelium_Prostate | AR | ID:50060,20
2437,GM12891_Lymphoblastoid_Blood | TAF1 | ID:46154,20
3896,Mesenchymal_Stem_Cell | CEBPB | ID:54134,20
1775,GM12878_B_Lymphocyte_Blood | EZH2 | ID:45215,20
8911,H1-hESC | ATF2 | ENCODE,19
3535,Colon | POLR2A | ID:51859,19
7372,Macrophage | SP140 | ID:77331,19
7366,K562_Erythroblast_Bone_Marrow | ZNF410 | ID:77269,19
6265,endometrioid_adenocarcinoma | ESR1 | ID:69902,19
1096,LS180_Epithelium_Colon | NCOR1 | ID:39655,19
4064,HeLa_Epithelium_Cervix | NELFA | ID:55467,19
6381,HeLa_Epithelium_Cervix | SETDB1 | ID:71056,19
7642,MOLT-4_T_Lymphoblast | POLR2A | ID:82833,19
6451,hESC | SMAD3 | ID:71282,19
8769,GM12873 | CTCF | ENCODE,19
9279,K562 (IFNg6h) | Pol2 | ENCODE,19
9142,HMEC | EZH2 | ENCODE,19
6784,SEM_B_Lymphocyte | AFF1 | ID:73713,19
8861,GM12878 | ZZZ3 | ENCODE,19
3473,HUES64_Embryonic_Stem_Cell_Embryo | SALL4 | ID:51551,19
5111,Stomach | POLR2A | ID:63569,19
1693,Endothelial_Cell_Umbilical_Vein | POLR2A | ID:44393,19
9466,U2OS | SETDB1 | ENCODE,19
3401,HepG2_Epithelium_Liver | KDM1B | ID:51251,19
506,HUES64_Embryonic_Stem_Cell_Embryo | POU5F1 | ID:34100,19
7888,TIME_Fibroblast | POLR2A | ID:84399,19
8563,HCT-116_HCT116 | PAF1 | ID:88906,19
3067,H9_Embryonic_Stem_Cell_Embryo | BRD4 | ID:49541,19
9435,Psoas_Muscle | DNase.hot | Roadmap,19
3196,NT2-D1_Embryo | POU5F1 | ID:49996,18
1234,HT1080_Connective_Tissue | ERCC2 | ID:41412,18
8283,MDA-MB-231_mDA | POLR2A | ID:87261,18
8240,iPS_cells_iPSC | POLR2A | ID:86945,18
4299,MCF-7_Epithelium_Breast | TOP2B | ID:56433,18
8034,A549_Epithelium_Lung | BRD4 | ID:85403,18
9389,NHLF | CTCF | ENCODE | 1,18
219,MR4_Promyelocytic_cell_Bone_Marrow | PML | ID:2448,18
6356,Raji_B_Lymphocyte_Blood | POLR2A | ID:70963,18
7242,HEK293_Epithelium_Embryonic_Kidney | ZMYND8 | ID:76851,18
8934,H1-hESC | GABP | ENCODE,18
263,V6.5_Embryonic_Stem_Cell | SMC1A | ID:2896,18
3359,Epithelium | SPI1 | ID:50730,18
7247,HEK293_Epithelium_Embryonic_Kidney | IRAK1 | ID:76859,18
399,Hematopoietic_Cell | ERG | ID:33459,18
6243,Th1 | CDK9 | ID:69866,18
8705,Fetal_Adrenal_Gland | DNase.hot | Roadmap,18
7304,293T | ZNF485 | ID:77108,18
7286,293T | ZNF671 | ID:77066,18
3607,501-Mel_Melanoma_Cell | MITF | ID:52548,17
2700,DU145_Epithelium_Prostate | FOXA1 | ID:47327,17
1101,LS180_Epithelium_Colon | MED1 | ID:39661,17
306,P493-6_B_cell_lymphoma | T | ID:32815,17
7678,HeLa_Epithelium_Cervix | DDX21 | ID:83100,17
2925,MCF-7_Epithelium_Breast | CBX5 | ID:48598,17
2910,MCF-7_Epithelium_Breast | BRD4 | ID:48450,17
8387,K562_Erythroblast_Bone_Marrow | CREBBP | ID:8782,17
4934,K562_Erythroblast_Bone_Marrow | SRSF3 | ID:63150,17
2957,Keratinocyte_Foreskin | ZNF750 | ID:48799,17
1612,H9_Embryonic_Stem_Cell_Embryo | TP53 | ID:44000,17
6575,MCF-7_Human_Breast_Cancer_Cell_Breast | POLR2A | ID:72404,17
8947,H1-hESC | Pol2-4H8 | ENCODE,17
1667,LNCaP_Epithelium_Prostate | E2F1 | ID:44325,17
1702,MCF-7_Epithelium_Breast | ESR1 | ID:44438,16
7061,Huh7_Epithelium_Liver | POLR2A | ID:75141,16
6821,293T | ZNF354A | ID:73953,16
4465,Kasumi-1_Myeloblast_Blood | RUNX1T1 | ID:58032,16
6461,Fibroblast_Skin | H1.0 | ID:71334,16
4378,RS4_B_Lymphocyte | NR3C1 | ID:56951,16
4305,HEK293T_Epithelium_Embryonic_Kidney | EHMT2 | ID:56455,16
9416,Penis_Foreskin_Fibroblast_Primary_Cells_skin02 | DNase.fdr0.01.peaks | Roadmap,16
837,BT-20_Epithelium_Mammary_Gland | HSF1 | ID:37116,16
7677,HeLa_Epithelium_Cervix | DDX21 | ID:83099,16
7634,Monocyte_Blood | T | ID:82662,16
7999,Macrophage_Blood | POLR2A | ID:85116,16
9396,Ovary | DNase.fdr0.01.hot | Roadmap,16
3469,HUES64_Embryonic_Stem_Cell_Embryo | POU5F1 | ID:51543,16
5466,HepG2_Epithelium_Liver | HNF1A | ID:64547,16
6182,Hematopoietic_stem_and_progenitor_cell | STAG1 | ID:69620,16
8727,Fetal_Kidney | DNase.fdr0.01.hot | Roadmap,16
7199,RKO_Epithelium_Colon | BRPF3 | ID:76495,16
6231,MCF-7_Human_Breast_Cancer_Cell_Breast | NELFE | ID:69810,16
7325,293T | ZNF284 | ID:77146,16
7977,HepG2_Epithelium_Liver | INO80 | ID:85027,16
7322,293T | ZNF304 | ID:77140,16
9175,IMR90 | Rad21 | ENCODE,16
5738,HEK293_Epithelium_Embryonic_Kidney | YY1 | ID:65205,16
8545,BT-549_Breast | SMAD2/3 | ID:88733,16
532,HeLa_Epithelium_Cervix | SUMO1 | ID:34366,16
5913,HEK293T_Epithelium_Embryonic_Kidney | TET2 | ID:67858,16
4639,Jurkat_T_Lymphocyte_Blood | GATA3 | ID:59417,16
8134,MDA-MB-231_mDA | POLR2A | ID:86164,16
5964,C4-2_Prostate | AR | ID:68090,16
4711,MCF-7_Epithelium_Breast | RFX1 | ID:62623,15
1484,GP5d_Colon | RAD21 | ID:42928,15
7625,THP-1_Monocyte_Blood | SPI1 | ID:82611,15
3417,HUES64_Embryonic_Stem_Cell_Embryo | PRDM1 | ID:51434,15
8365,hESC | NKX2-1 | ID:87737,15
5862,LNCaP_Epithelium_Prostate | CREB1 | ID:67718,15
554,Keratinocyte_Foreskin | TP63 | ID:34559,15
3907,GM06990_B_Lymphocyte_Blood | E2F4 | ID:542,15
8393,K562_Erythroblast_Bone_Marrow | WHSC1 | ID:8786,15
1089,Fibroblast | POU5F1 | ID:39513,15
8388,SHEP-21N_Neuroblastoma_cell_Bone_Marrow | POLR2A | ID:87827,15
2482,H1_Embryonic_Stem_Cell_Embryo | REST | ID:46198,15
9372,Mobilized_CD34_Primary_Cells_Male | DNase.fdr0.01.peaks | Roadmap,15
5641,HEK293_Epithelium_Embryonic_Kidney | ZNF329 | ID:65060,15
7373,Macrophage | SP140 | ID:77332,15
3584,Keratinocyte | TP63 | ID:52302,15
8924,H1-hESC | CTCF | ENCODE,15
7293,293T | ZNF573 | ID:77082,15
983,LoVo_Colon | ZBTB7B | ID:38666,15
7646,MOLT-4_T_Lymphoblast | BRD4 | ID:82839,15
3231,VCaP_Epithelium_Prostate | ESR1 | ID:50063,15
113,IMR90_Fibroblast_Lung | RBL2 | ID:1875,15
5655,HEK293_Epithelium_Embryonic_Kidney | ZNF317 | ID:65079,15
1552,MDA-MB-231_Epithelium_Breast | XBP1 | ID:43399,15
4620,SEM_Pre-B_Lymphocyte | KMT2A | ID:59165,15
7975,HL-60_Acute_myeloid_leukemia | RUNX1 | ID:84986,15
4473,Myeloid_Cell | KDM2B | ID:58079,15
2970,H1_Embryonic_Stem_Cell_Embryo | TRIM28 | ID:48923,15
7809,J-Lat_A72 | BRD4 | ID:83932,15
8956,H1-hESC | Sin3Ak-20 | ENCODE,15
6453,hESC | SMAD3 | ID:71284,15
4350,LHSAR_Epithelium_Prostate | AR | ID:56669,15
792,HeLa-S3_Epithelium_Cervix | ZNF143 | ID:36775,15
7701,TIME_Fibroblast | POLR2A | ID:83206,15
1160,H2171_Epithelium_Lung | POLR2A | ID:40219,15
1575,OCI-Ly1_B_cell_lymphoma_Bone_Marrow | BRD4 | ID:43631,15
8242,BJ_Fibroblast_Skin | FOXA2 | ID:86987,14
8451,HCT-116_HCT116 | POLR2A | ID:88100,14
9059,HeLa-S3 | ZZZ3 | ENCODE,14
9104,HepG2 | NRSF | ENCODE,14
5674,HEK293_Epithelium_Embryonic_Kidney | SP4 | ID:65111,14
8963,H1-hESC | SUZ12 | ENCODE,14
3020,PANC-1_Pancreas | ETS1 | ID:49243,14
3064,HCT-116_Colon | POLR2A | ID:49535,14
228,HEK293T_Epithelium_Embryonic_Kidney | POLR2A | ID:2642,14
747,T_Lymphocyte_Blood | BRD4 | ID:36301,14
863,Jurkat_E6-1_T_Lymphocyte_Blood | RUNX1 | ID:37384,14
7593,HepG2_Epithelium_Liver | SMARCA4 | ID:82423,14
9375,NB4 | CTCF | ENCODE,14
3218,Epithelium_Prostate | AR | ID:50049,14
835,NCI-H838_Epithelium_Lung | HSF1 | ID:37110,14
3499,HUES64_Embryonic_Stem_Cell_Embryo | THAP11 | ID:51611,14
7431,HepG2_Epithelium_Liver | SMARCA4 | ID:81230,14
5689,HEK293_Epithelium_Embryonic_Kidney | ZNF436 | ID:65128,14
6022,Patient_derived_xenograft_cells | KMT2D | ID:68635,14
7143,HEK293_Epithelium_Embryonic_Kidney | POLR2A | ID:76213,14
3673,U937_Pleura | RBP2 | ID:53077,14
7265,293T | ZNF823 | ID:77025,14
5456,MCF-7_Epithelium_Breast | RFX1 | ID:64525,14
4607,Raji_B_Lymphocyte_Blood | POLR2A | ID:58946,14
6810,293T | ZNF708 | ID:73930,14
8755,Gastric | DNase.all.peaks | Roadmap,14
4191,10326 | BRD3 | ID:55848,14
5410,K562_Erythroblast_Bone_Marrow | ZNF740 | ID:64374,14
9331,K562 | ZNF263 | ENCODE,14
6337,HCT-116_Colon_cancer_cell_Colon | SP1 | ID:70816,14
7196,N8-CTx | PHF2 | ID:76468,14
7236,Fibroblast_Fetal_Lung | NEUROG2 | ID:76820,14
9223,K562 | E2F4 | ENCODE,14
4611,Kasumi-1_Myeloblast_Blood | LYL1 | ID:58999,14
8931,H1-hESC | Egr-1 | ENCODE,14
1804,Endothelial_Cell_Umbilical_Vein | EZH2 | ID:45370,13
7394,GM12878_B_Lymphocyte_Blood | POLR2A | ID:8094,13
290,T_Lymphocyte_Blood | EP300 | ID:3238,13
7309,293T | ZNF44 | ID:77116,13
7707,TTC1240_Malignant_rhabdoid_tumor | SMARCC1 | ID:83224,13
39,HeLa_Epithelium_Cervix | GLYR1 | ID:1221,13
2557,K562_Erythroblast_Bone_Marrow | SIX5 | ID:46273,13
818,U937_Pleura | FLI1 | ID:37056,13
3683,HEK293_Epithelium_Embryonic_Kidney | FOXM1 | ID:53252,13
8303,TIME_Fibroblast | POLR2A | ID:87446,13
2956,P493-6_B_cell_lymphoma | POLR2A | ID:48780,13
1210,IMR90_Fibroblast_Lung | POLR2A | ID:41280,13
1692,Endothelial_Cell_Umbilical_Vein | POLR2A | ID:44392,13
2600,MCF-7_Epithelium_Breast | TEAD4 | ID:46315,13
4443,Embryonic_Stem_Cell_Embryo | RNF2 | ID:5768,13
1525,CUTLL1_T_Lymphocyte_Blood | GABPA | ID:43098,13
9057,HeLa-S3 | Znf143 | ENCODE,13
3152,Neural_Stem_Cell | EZH2 | ID:49798,13
7310,293T | ZNF445 | ID:77117,13
8899,H1_BMP4_Derived_Trophoblast_Cultured_Cells | DNase.all.peaks | Roadmap,13
4563,Th2 | GATA3 | ID:58811,13
4589,TF-1_Erythroblast_Bone_Marrow | RUNX1 | ID:58877,13
1011,Endothelial_Cell_Umbilical_Vein | NFATC1 | ID:38742,13
1231,MCF-7_Epithelium_Breast | MBD3 | ID:41400,13
1512,HEK293T_Epithelium_Embryonic_Kidney | EP300 | ID:43074,13
5332,Colon | POLR2A | ID:64170,13
4267,"CClp1 | TEAD1, TEAD4 | ID:56245",13
7547,HeLa_Epithelium_Cervix | INTS11 | ID:82182,13
5632,A549_Epithelium_Lung | HES2 | ID:65023,13
1606,Endothelial_Cell_Artery | T | ID:43972,13
3558,IMR90_Fibroblast_Lung | TP53 | ID:52103,13
8681,CD3_Primary_Cells_Cord_BI | DNase.all.peaks | Roadmap,13
9350,MCF-7 (serum_stimulated_media) | c-Myc | ENCODE,13
8548,HepG2_Epithelium_Liver | INO80 | ID:88784,13
5395,HEK293_Epithelium_Embryonic_Kidney | ZNF362 | ID:64321,13
3978,HCT-116_Colon | TCF4 | ID:54669,13
401,Raji_B_Lymphocyte_Blood | POLR2A | ID:33471,13
9302,K562 | SRF | ENCODE,13
2902,Fibroblast | PRKDC | ID:48353,13
