,Target,Weights
1336,GM10847_Lymphoblastoid_Blood | CTCF | ID:42257,0.2529936
6824,293T | ZNF331 | ID:73956,0.2527317
3454,HUES64_Embryonic_Stem_Cell_Embryo | NANOG | ID:51516,0.25268272
4072,Myeloid_Cell | RUNX1 | ID:55492,0.2524057
3921,LNCaP_Epithelium_Prostate | GATA2 | ID:54397,0.252375
2859,GM12878_B_Lymphocyte_Blood | SPI1 | ID:48275,0.25235346
6273,293T | TET2 | ID:70094,0.25136212
8956,H1-hESC | Sin3Ak-20 | ENCODE,0.25044253
4218,HepG2_Epithelium_Liver | CREB1 | ID:56049,0.24977112
6846,endometrioid_adenocarcinoma | ESR1 | ID:74003,0.24909508
4597,caki-1_Kidney | KDM5C | ID:58887,0.24892856
4086,B_Lymphocyte | BACH2 | ID:55549,0.24795213
3845,MCF-7_Epithelium_Breast | PR | ID:54019,0.24691153
3371,6540_cells_Epithelium | OTX2 | ID:50896,0.24629962
899,Endothelial_Cell_Umbilical_Vein | EP300 | ID:37921,0.24600734
4684,HepG2_Epithelium_Liver | PLRG1 | ID:62557,0.24598768
6536,BT168_Glioblastoma_Stem_Cell | POLR2A | ID:72334,0.24505408
2847,LNCaP_Epithelium_Prostate | AR | ID:48183,0.2447087
5454,K562_Erythroblast_Bone_Marrow | TSC22D4 | ID:64519,0.2443973
273,WM262_Melanocyte_Skin | SETDB1 | ID:2974,0.24437127
108,IMR90_Fibroblast_Lung | RB1 | ID:1870,0.24384803
9267,K562 | Nrf1 | ENCODE,0.243794
5261,MCF-7_Epithelium_Breast | NBN | ID:63978,0.24368186
6089,MCF-7_Epithelium_Breast | ESR1 | ID:68874,0.24288218
5410,K562_Erythroblast_Bone_Marrow | ZNF740 | ID:64374,0.24203867
9234,K562 | ETS1 | ENCODE,0.24188219
3979,HCT-116_Colon | TCF4 | ID:54670,0.24187762
2480,H1_Embryonic_Stem_Cell_Embryo | TAF1 | ID:46196,0.24053146
6224,HT29_colorectal_adenocarcinoma | NR1H2 | ID:69803,0.24041943
7322,293T | ZNF304 | ID:77140,0.24019404
4481,Neural_Progenitor_Cell | SOX2 | ID:58177,0.23946388
2950,NTKO_Multiple_myeloma_cell | EZH2 | ID:48762,0.2385416
8633,A549 | CTCF | ENCODE | 1,0.23838733
4184,293T | BRD4 | ID:55817,0.23836935
4559,Th2 | MYB | ID:58806,0.23673221
467,H295R_Epithelium_Adrenal_Gland | SF1 | ID:33852,0.23650508
8714,Fetal_Heart | DNase.all.peaks | Roadmap,0.23627762
6887,SF8628_Pontine | EZH2 | ID:74213,0.23565793
3056,Retinal_pigment_cell | RPE | ID:49481,0.23488736
7935,Tumor_cells | STAT3 | ID:84623,0.23479639
6444,Osteoblast | POLR2A | ID:71248,0.23434742
4442,K562_Erythroblast_Bone_Marrow | CBX2 | ID:57671,0.23413007
6565,HCC1954_Breast | POLR2A | ID:72393,0.23384237
2056,HeLa-S3_Epithelium_Cervix | NFYA | ID:45769,0.23374179
5996,LNCaP_Epithelium_Prostate | POU2F1 | ID:68236,0.23364173
4757,HEK293_Epithelium_Embryonic_Kidney | ZNF175 | ID:62713,0.23357955
3828,MCF-7_Epithelium_Breast | ESR1 | ID:53992,0.23296095
5112,HEK293_Epithelium_Embryonic_Kidney | ZNF239 | ID:63579,0.23264314
4183,293T | BRD4 | ID:55816,0.2323016
7235,Fibroblast_Fetal_Lung | NEUROG2 | ID:76819,0.23227972
7239,SK-N-SH_Neuroblastoma_cell_Brain | EBF3 | ID:76847,0.23167127
4676,A549_Epithelium_Lung | BCL3 | ID:62534,0.23152624
5728,HEK293_Epithelium_Embryonic_Kidney | ZNF528 | ID:65191,0.2313757
2046,HeLa-S3_Epithelium_Cervix | NFYB | ID:45758,0.23078245
6118,BJAB_GCB_DLBCL_cells | BIRA | ID:69218,0.23033968
7079,HeLa | ZBTB48 | ID:75288,0.23013788
4763,HEK293_Epithelium_Embryonic_Kidney | ZNF366 | ID:62731,0.23012233
2927,OCI-Ly3_B_Lymphocyte_Bone_Marrow | BATF | ID:48621,0.22975662
7196,N8-CTx | PHF2 | ID:76468,0.22943848
9235,K562 | EZH2 | ENCODE,0.22938973
2279,MCF-10A_Epithelium_Breast | E2F4 | ID:46000,0.22925887
9345,MCF10A-Er-Src (EtOH_0.01pct) | STAT3 | ENCODE,0.22896913
6495,MCF-7_Breast | NIPBL | ID:71866,0.22891174
6564,Cardiomyocyte | POLR2A | ID:72392,0.22890723
7791,MCF-7_Epithelium_Breast | ESR1 | ID:83812,0.2285703
8359,K562_Erythroblast_Bone_Marrow | CHD1 | ID:8770,0.22794342
3305,Jurkat_T_Lymphocyte_Blood | MYB | ID:50397,0.22751582
3102,MCF-7_Epithelium_Breast | ESR1 | ID:49644,0.22703859
2236,K562_Erythroblast_Bone_Marrow | YY1 | ID:45956,0.22628035
1490,GP5d_Colon | MYC | ID:42940,0.22621822
1974,H1_Embryonic_Stem_Cell_Embryo | TBP | ID:45684,0.22587255
9242,K562 | GTF2F1 | ENCODE,0.2257249
7679,HeLa_Epithelium_Cervix | TCOF1 | ID:83101,0.22544113
7662,BJ_Fibroblast_Skin | FOXA2 | ID:82945,0.22477518
2060,HeLa-S3_Epithelium_Cervix | MXI1 | ID:45774,0.22476734
9204,K562 (IFNa6h) | c-Jun | ENCODE,0.22463006
8120,Monocyte_Blood | SPI1 | ID:85986,0.22435945
1508,HEK293T_Epithelium_Embryonic_Kidney | JMJD6 | ID:43063,0.22416395
8430,K562_Leukemia | SIRT1 | ID:88011,0.22397086
4340,MDA-MB-231_Epithelium_Breast | JUN | ID:56633,0.22380245
565,IMR90_Fibroblast_Lung | LMNB1 | ID:34982,0.22327869
2277,MCF-10A_Epithelium_Breast | POLR2A | ID:45998,0.22316435
5825,LS180_Epithelium_Colon | BRD4 | ID:67533,0.22310503
2386,ECC-1_Epithelium_Endometrium | POLR2A | ID:46105,0.22272272
2944,Epithelium_Liver | SPI1 | ID:48704,0.22254997
1226,RPMI-8402_T_cell_leukemia_Blood | ZFX | ID:41309,0.22226211
4382,HeLa_Epithelium_Cervix | GTF2B | ID:56961,0.2219819
7072,HeLa | ZBTB48 | ID:75281,0.22188406
4393,HeLa_Epithelium_Cervix | POLR2A | ID:56976,0.22145194
3959,MCF-7_Epithelium_Breast | EP300 | ID:54637,0.22142829
5241,A549_Epithelium_Lung | FOSL2 | ID:63918,0.2214186
7818,HCT-116_HCT116 | POLR2A | ID:83957,0.22131756
5461,K562_Erythroblast_Bone_Marrow | JUNB | ID:64538,0.2213129
5418,K562_Erythroblast_Bone_Marrow | NR2C2 | ID:64395,0.22111487
6677,COLO-829 | CTCF | ID:72978,0.22045615
6575,MCF-7_Human_Breast_Cancer_Cell_Breast | POLR2A | ID:72404,0.2203546
133,K562_Erythroblast_Bone_Marrow | GATA1 | ID:2000,0.22031291
4450,LX2_Hepatic_Stellate_Cell | BRD3 | ID:57807,0.22019576
2591,MCF-7_Epithelium_Breast | PML | ID:46307,0.21974082
3626,MCF-7_Epithelium_Breast | ESR1 | ID:52611,0.21950683
9252,K562 (IFNg6h) | IRF1 | ENCODE,0.21950632
6161,A375_Melanoma_Cell | MED1 | ID:69517,0.2193475
8784,GM12878 | c-Myc | ENCODE,0.21911092
4015,MDA-MB-231_Epithelium_Breast | TEAD4 | ID:55297,0.21868505
2902,Fibroblast | PRKDC | ID:48353,0.21846594
8944,H1-hESC | Nrf1 | ENCODE,0.21829295
2684,MCF-7_Epithelium_Breast | KDM5B | ID:47265,0.21806857
804,MCF-7_Epithelium_Breast | KLF4 | ID:36821,0.21794902
5979,Keratinocyte | TP63 | ID:68211,0.21762498
8122,HeLa_Epithelium_Cervix | ZNF131 | ID:85994,0.21755841
7205,Stromal_Cell | ZBTB16 | ID:76518,0.21720682
1212,IMR90_Fibroblast_Lung | POLR2A | ID:41282,0.21695863
1257,OCI-Ly7_B_cell_lymphoma_Blood | MAFK | ID:41625,0.2166339
1425,HEK293_Epithelium_Embryonic_Kidney | CREBBP | ID:42638,0.21643034
6537,Glioblastoma_Stem_Cell | POLR2A | ID:72335,0.21616833
2912,MCF-7_Epithelium_Breast | ESR1 | ID:48453,0.2160318
4740,K562_Erythroblast_Bone_Marrow | HES1 | ID:62673,0.2160185
86,HepG2_Epithelium_Liver | CTCF | ID:1381,0.21517965
6874,MCF-7_Breast | ESR1 | ID:74157,0.21515061
864,Jurkat_E6-1_T_Lymphocyte_Blood | RUNX1 | ID:37388,0.21494891
6014,Tumor_cells_Brain | RBPJ | ID:68487,0.2148705
2798,Jurkat_T_Lymphocyte_Blood | REST | ID:47861,0.21481052
5111,Stomach | POLR2A | ID:63569,0.21470352
1737,VCaP_Epithelium_Prostate | BRD4 | ID:44600,0.21465895
2023,HeLa-S3_Epithelium_Cervix | CTCF | ID:45733,0.21463059
9393,NT2-D1 | ZNF274 | ENCODE,0.21450534
713,Epithelium_Mammary_Gland | ESR1 | ID:36097,0.21404733
8653,A549 (EtOH_0.02pct) | TAF1 | ENCODE,0.21384947
8163,VCaP_Epithelium_Prostate | AR | ID:8651,0.21380664
3658,Raji_B_Lymphocyte_Blood | CIITA | ID:52784,0.21313418
7886,TIME_Fibroblast | POLR2A | ID:84396,0.21237719
4985,HEK293_Epithelium_Embryonic_Kidney | OSR2 | ID:63285,0.21201442
5787,T47D_Epithelium_Mammary_Gland | ESR1 | ID:6589,0.21200308
9318,K562 | THAP1 | ENCODE,0.21197565
5222,MCF-7_Epithelium_Breast | MTA2 | ID:63874,0.21149987
5106,A549_Epithelium_Lung | HES2 | ID:63553,0.21147707
9202,K562 | CHD2 | ENCODE,0.21141006
444,HepG2_Epithelium_Liver | FAIRE | ID:33602,0.21122949
4271,LNCaP_Epithelium_Prostate | AR | ID:56254,0.21117362
1644,TT_Thyroid | SOX2 | ID:44227,0.21100229
4043,VCaP_Epithelium_Prostate | POLR2A | ID:55358,0.21085615
5098,A549_Epithelium_Lung | HES2 | ID:63542,0.21066275
4713,A549_Epithelium_Lung | FOSL2 | ID:62626,0.21061666
7257,U2OS_Osteosarcoma_cell | LRWD1 | ID:76969,0.21020989
5441,K562_Erythroblast_Bone_Marrow | RELA | ID:64465,0.21015656
1608,Endothelial_Cell_Artery | T | ID:43978,0.2101419
4031,K562_Erythroblast_Bone_Marrow | SUMO2 | ID:55346,0.20992756
1714,VCaP_Epithelium_Prostate | AR | ID:44578,0.20984522
5206,A549_Epithelium_Lung | FOSL2 | ID:63827,0.2092851
5730,HEK293_Epithelium_Embryonic_Kidney | ZNF331 | ID:65193,0.20921707
3579,Keratinocyte | POLR2A | ID:52297,0.2090629
422,Epithelium_Mammary_Gland | ESR1 | ID:33519,0.20886858
4955,K562_Erythroblast_Bone_Marrow | LARP7 | ID:63202,0.20876355
9001,HeLa-S3 | BRCA1 | ENCODE,0.20851712
2804,Jurkat_T_Lymphocyte_Blood | REST | ID:47867,0.20813966
1114,Kasumi-1_Myeloblast_Blood | REPIN1 | ID:39781,0.20809877
359,P493-6_B_cell_lymphoma | POLR2A | ID:33163,0.20797336
5725,HEK293_Epithelium_Embryonic_Kidney | KLF1 | ID:65188,0.20782903
2707,HEK293_Epithelium_Embryonic_Kidney | POLR2A | ID:47398,0.20778884
1613,Haematopoietic_Progenitor_Cell_Cord_blood | MEIS1 | ID:4402,0.20772283
9287,K562 | PU.1 | ENCODE,0.20744564
6588,Th2 | POLR2A | ID:72417,0.20702624
3416,T_Lymphocyte | PSIP1 | ID:51360,0.20686488
9056,HeLa-S3 | ZKSCAN1 | ENCODE,0.20684312
220,NB4_Promyelocytic_cell_Blood | PML | ID:2460,0.20585436
6697,MCF-7_asynchonous_cells_Breast | FOXA1 | ID:73189,0.2058505
9111,HepG2 | Pol2 | ENCODE,0.20584203
3575,Granulosa_cell_Ovary | AR | ID:52249,0.20569324
1987,H1_Embryonic_Stem_Cell_Embryo | NRF1 | ID:45697,0.20525044
6227,HT29_colorectal_adenocarcinoma | NR1H2 | ID:69806,0.20517114
7590,HCT-116_HCT116 | POLR2A | ID:82396,0.20500486
8839,GM12878 | SIX5 | ENCODE,0.20498909
9064,HepG2 | BRCA1 | ENCODE,0.20492557
2312,SH-SY5Y_Bone_Marrow | GATA3 | ID:46033,0.2048075
8466,H1_Embryonic_Stem_Cell_Embryo | SAP30 | ID:8821,0.20469563
3831,MCF-7_Epithelium_Breast | EP300 | ID:53999,0.20452127
4595,caki-1_Kidney | KDM5C | ID:58885,0.20433325
2978,HeLa_Epithelium_Cervix | AFF4 | ID:48999,0.20428486
5946,C4-2_Prostate | POLR2A | ID:68072,0.20421888
8993,HEK293 | Pol2 | ENCODE,0.20415507
7258,U2OS_Osteosarcoma_cell | LRWD1 | ID:76970,0.20413178
8860,GM12878 | ZNF274 | ENCODE,0.20407847
7187,Melanocytic_cell | PMEL | ID:76413,0.20401758
4638,Jurkat_T_Lymphocyte_Blood | RUNX1 | ID:59416,0.20313077
5792,GM12878_B_Lymphocyte_Blood | NR2C2 | ID:670,0.20304348
3460,HUES64_Embryonic_Stem_Cell_Embryo | OTX2 | ID:51529,0.20301168
5326,HepG2_Epithelium_Liver | HHEX | ID:64140,0.2028787
8918,H1-hESC | CHD1 | ENCODE | 1,0.20281877
6828,293T | ZNF266 | ID:73963,0.20254341
900,Endothelial_Cell_Umbilical_Vein | EP300 | ID:37924,0.20253263
898,U937_Pleura | POLR2A | ID:37642,0.20226271
4400,HCT-116_Colon | POLR2A | ID:57088,0.20204642
7606,HeLa_Adherent_HeLa_cells | POLR2A | ID:82517,0.20165367
2238,K562_Erythroblast_Bone_Marrow | ZNF263 | ID:45958,0.20156096
7237,A549_Epithelium_Lung | SETX | ID:76830,0.20150152
1502,MM1.S_B_Lymphocyte_Blood | BRD2 | ID:43047,0.2013653
7613,Osteosarcoma_Cell_Line_SJSA_Osteosarcoma_cell | TP53 | ID:82549,0.20130362
3631,MCF-7_Epithelium_Breast | RELA | ID:52617,0.2010032
904,Endothelial_Cell_Umbilical_Vein | EP300 | ID:37931,0.20098485
737,Haematopoietic_Progenitor_Cell_Blood | RUNX1 | ID:36244,0.20081525
6115,LNCaP_Epithelium_Prostate | TRIM24 | ID:69202,0.20054619
652,Neural_crest_cell_Cranial | NR2F1 | ID:35628,0.19996622
8558,SCC9_squamous_cell_carcinoma | CHD4 | ID:88896,0.19965711
6255,Th1 | CDK9 | ID:69881,0.1993529
9302,K562 | SRF | ENCODE,0.19897348
9200,K562 | c-Fos | ENCODE,0.19895682
9084,HepG2 | GABP | ENCODE,0.19879146
6524,HCT-116_colorectal_carcinoma_derived_cell_line | SMARCA4 | ID:72102,0.19869019
1470,AC16_Cardiomyocyte | RELA | ID:42900,0.19862491
3289,IMR90_Fibroblast_Lung | POLR2A | ID:50359,0.19856639
8295,M.M._Fibroblast | FOXA2 | ID:87392,0.1985563
6087,MCF-7_Epithelium_Breast | ESR1 | ID:68872,0.19852178
4180,HEK293_Epithelium_Embryonic_Kidney | POLR2A | ID:55806,0.19844984
3674,U937_Pleura | RBP2 | ID:53078,0.19817919
497,BG03_Embryonic_Stem_Cell_Embryo | SMAD3 | ID:34016,0.19775185
2670,CAL-1_Dendritic_Cell | TCF4 | ID:47101,0.19774784
8151,T47D_Epithelium_Mammary_Gland | ESR1 | ID:86340,0.19752786
6567,NCI-H2087_Epithelium_Lung | POLR2A | ID:72395,0.19739968
3267,IMR90_Fibroblast_Lung | HIRA | ID:50176,0.19712342
1504,MM1.S_B_Lymphocyte_Blood | BRD3 | ID:43051,0.19706693
2218,K562_Erythroblast_Bone_Marrow | JUN | ID:45938,0.1965946
204,MCF-7_Epithelium_Breast | RAD21 | ID:2391,0.19658849
5055,MCF-7_Epithelium_Breast | ELK1 | ID:63433,0.19650096
7152,MCF10CA1a_Epithelium_Breast | CTCF | ID:76248,0.19643371
4447,LX2_Hepatic_Stellate_Cell | BRD2 | ID:57804,0.19603845
1667,LNCaP_Epithelium_Prostate | E2F1 | ID:44325,0.19594783
1679,LNCaP_Epithelium_Prostate | E2F1 | ID:44337,0.19533592
678,C4-2B_Epithelium_Prostate | FOXA1 | ID:35768,0.19517262
5641,HEK293_Epithelium_Embryonic_Kidney | ZNF329 | ID:65060,0.19501027
4146,VCaP_Epithelium_Prostate | SUMO2 | ID:55723,0.19493303
1858,AG04450_Fibroblast_Fetal_Lung | CTCF | ID:45564,0.19482023
2752,YCC3_Epithelium | KLF5 | ID:47593,0.19476272
4605,Raji_B_Lymphocyte_Blood | POLR2A | ID:58944,0.19435261
4269,CClp1 | YAP1 | ID:56248,0.19411488
2108,HepG2_Epithelium_Liver | TCF7L2 | ID:45825,0.19404775
5242,A549_Epithelium_Lung | FOSL2 | ID:63919,0.19395846
4227,MCF-7_Epithelium_Breast | RAD21 | ID:56058,0.19376753
877,Hematopoietic_Cell | MYH11 | ID:37589,0.19359644
577,Epithelium | HSF1 | ID:35064,0.1933051
6265,endometrioid_adenocarcinoma | ESR1 | ID:69902,0.19308507
2131,Endothelial_Cell_Umbilical_Vein | JUN | ID:45848,0.19306226
9277,K562 (IFNa6h) | Pol2 | ENCODE,0.19305643
2713,VCaP_Epithelium_Prostate | ERG | ID:47408,0.19292973
6538,Glioblastoma_Stem_Cell | MYC | ID:72337,0.19255203
970,IMR90_Fibroblast_Lung | E2F7 | ID:38589,0.19245748
3396,Neural_Stem_Cell | CHD8 | ID:51104,0.19235657
1919,GM12878_B_Lymphocyte_Blood | ESRRA | ID:45627,0.19231652
1289,iPSC | JARID2 | ID:41808,0.19213544
382,MCF-7_Epithelium_Breast | ESR1 | ID:33223,0.19203961
2426,GM12878_B_Lymphocyte_Blood | MEF2C | ID:46144,0.19201991
8436,H1_Embryonic_Stem_Cell_Embryo | CHD1 | ID:8806,0.19200476
8286,Osteoblast | POLR2A | ID:87314,0.19195268
